ArticleTitle,ArticleAuthor,ArticleDate,JournalTitle,JournalVolume,JournalIssue,JournalPages,DOI,Notes
"A new Myliobatiformes (Chondrichthyes, Batoidea) from the Miocene of Río Negro Province, Argentina and a review of the fossil Myliobatiformes of Argentina.","De Pasqua, J.J. & Aranciaga Rolando, A.M. & Agnolín, F.L. & Gaetano, L.C. & Bogan, S. (2025)",2025,"A new Myliobatiformes (Chondrichthyes, Batoidea) from the Miocene of Río Negro Province, Argentina and a review of the fossil Myliobatiformes of Argentina. Historical Biology",7.0,3.0,,10.1080/08912963.2024.2317326,Shark research literature review - Priority 1 batch
"A new deep-marine elasmobranch fauna from the Late Cretaceous of Bergen (Bavaria, Germany) dominated by squaliform sharks.","Feichtinger, I. & Beaury, B. & Ćorić, S. & Straube, N. & Harzhauser, M. & Kranner, M. & Auer, G. & G",2025,"A new deep-marine elasmobranch fauna from the Late Cretaceous of Bergen (Bavaria, Germany) dominated by squaliform sharks. Paläontologische Zeitschrift",,,,10.1007/s12542-024-00713-w,Shark research literature review - Priority 1 batch
"A new hybodontiform shark (Strophodus Agassiz, 1838) from the Upper Jurassic of Switzerland.","Carrillo-Briceño, J.D. & Stössel, I. & Kindlimann, R. & Klug, C. (2025)",2025,A new hybodontiform shark (Strophodus Agassiz,144.0,1.0,,10.1186/s13358-025-00376-3,Shark research literature review - Priority 1 batch
"A new marine vertebrate assemblage from the Upper Cretaceous Dakota Formation in Nebraska, USA, and its paleoecology and taphonomy.","Juranek, J.K. & Shimada, K. (2025)",2025,"A new marine vertebrate assemblage from the Upper Cretaceous Dakota Formation in Nebraska, USA, and its paleoecology and taphonomy. Cretaceous Research",,,,10.1016/j.cretres.2025.106084,Shark research literature review - Priority 1 batch
"A new phytosaur-dominated vertebrate assemblage from the Late Triassic of the South Eifel region (Rhineland-Palatinate, Germany).","Numberger-Thuy, L.D. & Delsate, D. & Poschmann, M.J. & Schindler, T. & Thuy, B. (2025)",2025,"A new phytosaur-dominated vertebrate assemblage from the Late Triassic of the South Eifel region (Rhineland-Palatinate, Germany). Neues Jahrbuch Fur Geologie Und Palaontologie-Abhandlungen",315.0,2.0,,10.1127/njgpa/1273,Shark research literature review - Priority 1 batch
A new protocol for brain extraction of sharks and batoids (Chondrichthyes: Elasmobranchii).,"Soares, K.D.A. & Oliveira, D.C.S. & Borges, L.C.S. & Ramos, I.L. & El Bayeh, M.C. & Romeiro, A. & Ka",2025,A new protocol for brain extraction of sharks and batoids (Chondrichthyes: Elasmobranchii). Zoomorphology,144.0,1.0,,10.1007/s00435-024-00695-y,Shark research literature review - Priority 1 batch
A new record of the African dwarf sawshark Pristiophorus nancyae (Chondrichthyes: Pristiophoridae) from the Indian Ocean dating back to the 1960s.,"Seifert, J. (2025)",2025,A new record of the African dwarf sawshark Pristiophorus nancyae (Chondrichthyes: Pristiophoridae) from the Indian Ocean dating back to the 1960s. World Journal of Biology Pharmacy and Health Sciences,21.0,1.0,,10.30574/wjbphs.2025.21.1.0086,Shark research literature review - Priority 1 batch
"A new species of Aega Leach, 1816 (Isopoda: Aegidae), a micro-predator of elasmobranchs from eastern Tasmania, Australia.","Guillemin, T.A. & Mcnab, J.M. & Williamson, J.E. & Bruce, N.L. (2025)",2025,A new species of Aega Leach,5601.0,3.0,,10.11646/zootaxa.5601.3.12,Shark research literature review - Priority 1 batch
"A new species of Pseudoacanthocephalus (Acanthocephala: Pseudoacanthocephalidae) from Sado Island, Japan, with a report of its accidental occurrence in a marine elasmobranch.","Kita, Y. & Nitta, M. & Abe, H. & Kaburagi, S. & Fujita, T. & Toyota, K. & Kondo, Y. & Kajihara, H. (",2025,"A new species of Pseudoacanthocephalus (Acanthocephala: Pseudoacanthocephalidae) from Sado Island, Japan, with a report of its accidental occurrence in a marine elasmobranch. Folia Parasitologica",,,,10.14411/fp.2025.028,Shark research literature review - Priority 1 batch
"A new species of cow shark (Hexanchiformes: Hexanchidae) from the Late Cretaceous of Seymour Island, Antarctica.","Otávio dos Santos, R. & Riff, D. & Ramos, R.R.C. & Rodrigues, I.F. & Scheffler, S.M. & Sucerquia, P.",2025,"A new species of cow shark (Hexanchiformes: Hexanchidae) from the Late Cretaceous of Seymour Island, Antarctica. Historical Biology",7.0,3.0,,10.1080/08912963.2024.2316047,Shark research literature review - Priority 1 batch
"A novel, nonlethal liver biopsy procedure in an elasmobranch.","Hasenei, A.M. & Foyle, L. & Rummer, J.L. (2025)",2025,"A novel, nonlethal liver biopsy procedure in an elasmobranch. Australian Veterinary Journal",103.0,7.0,,10.1111/avj.13432,Shark research literature review - Priority 1 batch
A pilot tagging study of yellownose skate (Dipturus chilensis) and roughskin skate (Dipturus trachyderma) off southern Chile.,"Apablaza, P. & Queirolo, D. & Ahumada, M. & Wiff, R. & Flores, A. (2025)",2025,A pilot tagging study of yellownose skate (Dipturus chilensis) and roughskin skate (Dipturus trachyderma) off southern Chile. Journal of the Marine Biological Association of the United Kingdom,,,,10.1017/s0025315424001152,Shark research literature review - Priority 1 batch
A rapid and non-destructive approach using data fusion to track and monitor endangered amazon freshwater stingray meat.,"de Andrade, J.C. & Oliveira, C.D. & de Oliveira, A.T. & Tessaro, L. & Amazonas, M. & dos Santos, B.C",2025,A rapid and non-destructive approach using data fusion to track and monitor endangered amazon freshwater stingray meat. Journal of Food Composition and Analysis,,,,10.1016/j.jfca.2024.107147,Shark research literature review - Priority 1 batch
