openalex_author_id,last_institution_id,last_institution_name,last_institution_country,last_institution_city,last_institution_region,last_institution_lat,last_institution_lon,last_institution_type
https://openalex.org/A5000212044,https://openalex.org/I4210087239,FishBase Information and Research Group,PH,Los Baños,,14.169912338256836,121.2549285888672,nonprofit
https://openalex.org/A5000213926,I5681781,The University of Adelaide,AU,Adelaide,South Australia,-34.92866,138.59863,education
https://openalex.org/A5000217706,https://openalex.org/I136199984,Harvard University,US,Cambridge,Massachusetts,42.3751,-71.10561,education
https://openalex.org/A5000224535,https://openalex.org/I298625061,Swedish University of Agricultural Sciences,SE,Uppsala,Uppsala,59.85882,17.63889,education
https://openalex.org/A5000244457,I187079419,Instituto Nacional de Pesquisas da Amazônia,BR,Manaus,Amazonas,-3.10194,-60.025,facility
https://openalex.org/A5000249150,,,,,,,,
https://openalex.org/A5000251357,https://openalex.org/I4210131645,NOAA National Marine Fisheries Service Southeast Fisheries Science Center,US,Miami,,25.774269104003903,-80.19365692138672,government
https://openalex.org/A5000254356,https://openalex.org/I202697423,University of Zurich,CH,Zurich,Zurich,47.36667,8.55,education
https://openalex.org/A5000259207,https://openalex.org/I84884186,Newcastle University,GB,Newcastle upon Tyne,England,54.97328,-1.61396,education
https://openalex.org/A5000261002,,Centro Nacional de Investigación y Desarrollo Tecnológico,MX,,,,,
https://openalex.org/A5000261464,https://openalex.org/I115891769,Universidade dos Açores,PT,Ponta Delgada,Azores,37.73952,-25.66874,education
https://openalex.org/A5000261742,https://openalex.org/I6289922,Universidade de Vigo,ES,Vigo,Galicia,42.23282,-8.72264,education
https://openalex.org/A5000264336,https://openalex.org/I70368782,National University of Comahue,AR,Neuquén,,-38.94015121459961,-68.05735778808594,education
https://openalex.org/A5000275185,https://openalex.org/I887064364,University of Amsterdam,NL,Amsterdam,North Holland,52.37403,4.88969,education
https://openalex.org/A5000275661,I12202714,Windward Community College,US,Kaneohe,Hawaii,21.40921974182129,-157.81321716308594,education
https://openalex.org/A5000276744,https://openalex.org/I885383172,National University of Malaysia,MY,Bangi,,2.900000095367432,101.78333282470705,education
https://openalex.org/A5000278616,https://openalex.org/I130785548,Clark University,US,Worcester,,42.26258850097656,-71.80229187011719,education
https://openalex.org/A5000282094,https://openalex.org/I29894533,Charles Darwin University,AU,Darwin,,-12.461130142211914,130.8418426513672,education
https://openalex.org/A5000282798,https://openalex.org/I19700959,Florida International University,US,Miami,,25.774269104003903,-80.19365692138672,education
https://openalex.org/A5000287602,https://openalex.org/I4210141069,Bochum University of Applied Sciences,DE,Bochum,North Rhine-Westphalia,51.48165,7.21648,education
https://openalex.org/A5000291310,,China National GeneBank,CN,龙岗区,广东省,22.5887901,114.4622246,
https://openalex.org/A5000297260,,Paris Cardiovascular Research Center,FR,,,,,
https://openalex.org/A5000306982,https://openalex.org/I4210128582,Atlantic Research Institute of Fisheries and Oceanography,RU,Kaliningrad,,54.7154655456543,20.49044609069824,facility
https://openalex.org/A5000307666,,,,,,,,
https://openalex.org/A5000308150,https://openalex.org/I2801014300,Florida Gulf Coast University,US,Fort Myers,,26.62167930603028,-81.84059143066406,education
https://openalex.org/A5000311907,https://openalex.org/I4210106307,"Czech Academy of Sciences, Institute of Inorganic Chemistry",CZ,Řež,Central Bohemia,50.17734,14.35733,facility
https://openalex.org/A5000327909,,,,,,,,
https://openalex.org/A5000335531,,,,,,,,
https://openalex.org/A5000344719,https://openalex.org/I40120149,University of Oxford,GB,Oxford,England,51.75222,-1.25596,education
https://openalex.org/A5000350410,https://openalex.org/I134085113,King Fahd University of Petroleum and Minerals,SA,Dhahran,,26.28863906860352,50.11396026611328,education
https://openalex.org/A5000351686,https://openalex.org/I368840534,University of Mississippi,US,Oxford,,34.36650085449219,-89.51924896240234,education
https://openalex.org/A5000361871,,,,,,,,
https://openalex.org/A5000376550,https://openalex.org/I1302237321,Science Museum,GB,London,,51.497501373291016,-0.1747220009565353,archive
