institution_id,display_name,country_code,type,city,region,latitude,longitude
https://openalex.org/I103390050,Ryukoku University,JP,education,Kyoto,,35.02106857299805,135.75384521484375
https://openalex.org/I103406327,Western Carolina University,US,education,Cullowhee,,35.3137092590332,-83.17652893066406
https://openalex.org/I103497121,Purchase College,US,education,Purchase,,41.04093170166016,-73.71456909179688
https://openalex.org/I103531236,Boston College,US,education,Boston,Massachusetts,42.35843,-71.05977
https://openalex.org/I103605164,Tohoku Institute of Technology,JP,education,Sendai,,38.245941162109375,140.85267639160156
https://openalex.org/I103635307,"University of California, Riverside",US,education,Riverside,California,33.95335,-117.39616
https://openalex.org/I103890011,Shenyang Pharmaceutical University,CN,education,Shenyang,,41.79222106933594,123.43277740478516
https://openalex.org/I103911934,University of the Philippines System,PH,education,Quezon City,National Capital Region,14.6488,121.0509
https://openalex.org/I103922791,QB3,US,nonprofit,San Francisco,,37.77492904663086,-122.41941833496094
https://openalex.org/I104026149,Manhattan Institute for Policy Research,US,nonprofit,New York,New York,40.75428009033203,-73.97731018066406
https://openalex.org/I104234503,Hokkaido University of Science,JP,education,Sapporo,,43.1353645324707,141.24899291992188
https://openalex.org/I104338594,Inje University,KR,education,Gimhae,Gyeongsangnam-do,35.23417,128.88111
https://openalex.org/I104411113,Alaska Department of Fish and Game,US,government,Juneau,Alaska,58.29951858520508,-134.42434692382812
https://openalex.org/I104546213,National College of Ireland,IE,education,Dublin,,53.33306121826172,-6.248889923095703
https://openalex.org/I10457146,Universidad de Santiago de Chile,CL,education,Santiago,Santiago Metropolitan,-33.45694,-70.64827
https://openalex.org/I104588304,University of Szczecin,PL,education,Szczecin,,53.42893981933594,14.553019523620604
https://openalex.org/I104628220,Lions Eye Institute,AU,nonprofit,Perth,Western Australia,-31.95224,115.8614
https://openalex.org/I104651037,Millersville University,US,education,Millersville,Pennsylvania,39.996055603027344,-76.3543472290039
https://openalex.org/I104658917,University of Chichester,GB,education,Chichester,,50.83673095703125,-0.7800300121307373
https://openalex.org/I104817121,University of Sarajevo,BA,education,Sarajevo,Federation of B&H,43.84864,18.35644
https://openalex.org/I104854061,Universidad Autónoma del Estado de Hidalgo,MX,education,Pachuca,,20.12805557250977,-98.73444366455078
