institution_id,display_name,city,region,country,old_lat,old_lon,new_lat,new_lon,status,query,nominatim_display_name
https://openalex.org/I17974374,Universidade de São Paulo,São Paulo,São Paulo,BR,-23.5475,-46.63611,-23.5652201,-46.712583,geocoded,"Universidade de São Paulo, São Paulo","Universidade de São Paulo (Portaria 1), Avenida Afrânio Peixoto, Caxingui, Butantã, São Paulo, Região Sudeste, 05507-000, Brasil"
https://openalex.org/I159885104,École Pratique des Hautes Études,Paris,Île-de-France,FR,48.85341,2.3488,,,failed:no_result,École Pratique des Hautes Études,
https://openalex.org/I1336856363,Natural History Museum,London,,GB,51.50852966308594,-0.1257400065660476,51.4965109,-0.1760019,geocoded,"Natural History Museum, London","Natural History Museum, Cromwell Road, Brompton, Royal Borough of Kensington and Chelsea, Greater London, England, SW7 5BD, United Kingdom"
https://openalex.org/I1337719021,Australian Research Council,Canberra,Australian Capital Territory,AU,-35.28346,149.12807,,,failed:too_far_461km,Australian Research Council,"Australian Council for Educational Research, 17-19, Prospect Hill Road, Camberwell, Melbourne, Victoria, 3124, Australia"
https://openalex.org/I165690674,Oregon Health & Science University,Portland,,US,45.5234489440918,-122.67620849609376,45.4981929,-122.6864957,geocoded,"Oregon Health & Science University, Portland","Oregon Health & Science University, 3181, Southwest Sam Jackson Park Road, Southwest Hills, Portland, Multnomah County, Oregon, 97239, United States"
https://openalex.org/I4210133753,Instituto Nacional de Limnología,Santa Fe,Santa Fe,AR,-31.64881,-60.70868,,,failed:no_result,Instituto Nacional de Limnología,
https://openalex.org/I12708293,SIB Swiss Institute of Bioinformatics,Lausanne,Vaud,CH,46.516,6.63282,,,failed:no_result,SIB Swiss Institute of Bioinformatics,
https://openalex.org/I25112270,Universidade Federal de Pernambuco,Recife,,BR,-8.053890228271484,-34.88111114501953,-8.0524236,-34.9510615,geocoded,"Universidade Federal de Pernambuco, Recife","Universidade Federal de Pernambuco, 1235, Avenida Professor Moraes Rego, Cidade Universitária, Recife, Pernambuco, Região Nordeste, 50670-420, Brasil"
https://openalex.org/I2613432,University of South Florida,Tampa,Florida,US,27.94752,-82.45843,28.0599999,-82.4138362,geocoded,"University of South Florida, Tampa","University of South Florida, 4202, East Fowler Avenue, Tampa, Hillsborough County, Florida, 33620, United States"
I5681781,The University of Adelaide,Adelaide,South Australia,AU,-34.92866,138.59863,-34.9189226,138.6042367,geocoded,"University of Adelaide, Adelaide","University of Adelaide, North Terrace, Adelaide, South Australia, 5000, Australia"
https://openalex.org/I2799394472,South Australian Museum,Adelaide,South Australia,AU,-34.92866,138.59863,-34.9207272,138.6035628,geocoded,"South Australian Museum, Adelaide","South Australian Museum, North Terrace, Adelaide, South Australia, 5000, Australia"
https://openalex.org/I45935490,National Institute of Water and Atmospheric Research,Auckland,Auckland,NZ,-36.84853,174.76349,,,failed:too_far_495km,National Institute of Water and Atmospheric Research,"National Institute of Water and Atmospheric Research, Evans Bay Parade, Roseneath, Wellington, Wellington City, Wellington, 6022, New Zealand / Aotearoa"
https://openalex.org/I4210097673,International Union for Conservation of Nature (United States),Washington,District of Columbia,US,38.89511,-77.03637,,,failed:no_result,International Union for Conservation of Nature (United States),
https://openalex.org/I4210147680,Centro de Investigaciones Biológicas Margarita Salas,Madrid,,ES,40.416500091552734,-3.702559947967529,,,failed:no_result,Centro de Investigaciones Biológicas Margarita Salas,
https://openalex.org/I4210163022,Bayworld Centre for Research and Education,Cape Town,Western Cape,ZA,-33.92584,18.42322,,,failed:no_result,Bayworld Centre for Research and Education,
https://openalex.org/I165143802,The University of Queensland,Brisbane,Queensland,AU,-27.46794,153.02809,-27.4981423,153.0111536,geocoded,"University of Queensland, Brisbane","University of Queensland, Chancellors Place, St Lucia, Brisbane, Queensland, 4067, Australia"
