Superorder,Order,Family,Genus,Species,Source_year,AuthorYear,DataSource,Source_observation,General_data_type,Unit,Unit_time ,Unit_spatial,Unit_gear,Unit_transformation,Unit_freeform,Model,Sampling_method_general,Sampling_method_info,Dataset_location,Dataset_representativeness_experts,Experts_for_representativeness,Coastal_province,Pelagic_province,FAO_area,Dataset_map,Latitude ,Longitude,Ocean,Datamined,Variance,PageAndFigureNumber,LineUsed,PDFPage,ActualPage,FigureName,FigureData,Comments,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2018,Lynch_2018,10.1093/icesjms/fsy008,fishery_independent,sCPUE,individual,NA,NA,1000hook,divided_by_mean,NA,two-stage delta-GLM,longline,pelagic,West and Cental North Atlantic,North Atlantic,IUCN Pelagic sharks and rays - Dallas Nov 2018,"5,6,12","8,26,28,31,32","21,27,31,34,41",Y,28,-73,Atlantic,Y,N,Supplementaryp11fS3,Silky Shark panel; blue line (observer),,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.884461009,1.549929215,1.180669703,1.507199922,0.736211861,1.51955915,1.037720139,1.095468534,1.099097897,0.939971989,0.573869554,0.617254996,0.627300182,0.924688479,0.872318017,0.801683748,1.200737082,0.771427037,0.867386232,1.224053471,0.723159443,0.553437711,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2005,Shepherd_2005,10.1111/j.1461-0248.2005.00807.x,fishery_independent,sCPUE,individual,NA,NA,tow,NA,NA,GLM,trawl,NA,North Gulf of Mexico,NA,NA,6,NA,31,N,27,-84,Atlantic,Y,N,p1099f2,triangles,5,1099,Shepherd_2005_SilkyShark.png,Shepherd_2005_SilkyShark.txt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0219,0.0426,0.0060335,0,0,0,0,0,0,0,0,0,0.0237,0,0,0,0,0,0,0,0,0,0,0,0,0.2015,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2013,Clarke_2013,10.1111/j.1523-1739.2012.01943.x,fishery_independent,sCPUE,individual,NA,NA,1000hook,NA,NA,GLM_quasipoisson,longline,pelagic,Pacific,NA,NA,"29,30,31,33,35,36,37,38,39,40,41,53,54,55,56","9,14,15,20,22","61,71,77,81",Y,0,175,Pacific,Y,Y,p7f2c,Silky Shark,7,7,Clarke_2012_SilkyShark.png,Clarke_2012_SilkyShark.txt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5068,0.7278,0.8998,1.0881,0.9003,0.9824,1.277,0.9094,1.1549,1.098,1.2781,1.0414,0.6411,0.6741,0.3229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2013,Clarke_2013,10.1111/j.1523-1739.2012.01943.x,fishery_independent,nCPUE,individual,NA,NA,NA,NA,NA,NA,seine,purse-seine,central_pacific,NA,NA,"29,31,35,38,39,40,54","9,15,20,22","61,71,77,81",Y,0,175,Pacific,Y,N,p7f2d,Silky Shark,7,7,Clarke_2012_SilkySharkPurse.png,Clarke_2012_SilkySharkPurse.txt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4494,0.2572,0.7205,1.5523,1.0325,1.2364,1.5493,1.8488,1.5474,1.6966,1.5592,1.4218,1.1477,0.7917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2015,Rice_2015,10.13140/RG.2.1.3369.0321,fishery_independent,sCPUE,individual,NA,NA,1000hook,NA,NA,GLM,longline,NA,Pacific,NA,NA,"29,31,35,37,38,39,40,41,55,56","9,15,20,22","61,71,81,77",Y,-10,-170,Pacific,Y,Y,p84f37,blue,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1461,-0.5236,-0.7542,-0.2113,-0.9119,0.1549,-0.9031,-0.6588,-0.106,-0.5667,-0.3371,0.2352,-0.0639,-0.2749,-0.0992,0.2235,-0.5652,-0.8889,-0.8355,NA,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2007,Cortes_2007a,10.18785/gcr.1902.06,fisheries,sCPUE,individual,NA,NA,NA,divided_by_mean,NA,delta lognormal GLM,longline,pelagic,West Atlantic,NA,NA,"5,6,12","8, 26, 28, 31,32","21,31, 41",Y,27,-68,Atlantic,Y,Y,p46f6a,Logbook ,11,46,Cortes_2007_SilkyShark.png,Cortes_2007_SilkyShark.txt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4762,1.2381,1.119,1.0714,1.0476,0.75,0.5714,0.6548,0.7024,0.5356,0.4167,0.7143,0.3452,0.7262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2007,Cortes_2007a,10.18785/gcr.1902.06,fishery_independent,sCPUE,individual,NA,NA,NA,divided_by_mean,NA,delta lognormal GLM,longline,pelagic,West Atlantic,NA,NA,"5,6,12","8, 26, 28, 31,32","21,31, 41",Y,27,-68,Atlantic,Y,Y,p46f6b,OBServ,11,46,Cortes_2007_Figure6BObserver.png,Cortes_2007_Figure6BObserver.txt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6966,1.2711,1.38,1.2886,0.7563,1.2927,0.7738,1.043,1.192,1.1006,0.3946,0.4768,0.4655,0.9485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2007,Cortes_2007a,10.18785/gcr.1902.06,fisheries,sCPUE,individual,NA,NA,NA,divided_by_mean,NA,delta lognormal GLM,longline,pelagic,Gulf of Mexico,NA,NA,"6, 12",26,31,Y,25,-88,Atlantic,Y,Y,p46f6c,Logbook_std G+C,11,46,Cortes_2007_SilkySharkGOM.png,Cortes_2007_SilkySharkGOM.txt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9521,2.1677,1.6886,0.8862,2.1317,0.8263,0.3353,0.5749,0.2275,0.3473,0.6108,0.6347,0.5269,0.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2018,Clarke_2018,Clarke et al. 2018 Pacific-wide Silky Shark Stock Status Assessment - Addendum WFPCF-SC14-2-18/SA-WP-08,stock_assessment,standardized_biomass,ton,NA,NA,NA,SB/SB0,NA,Stock synthesis,multiple,NA,Western and Central Pacific,South Pacific,IUCN Pelagic sharks and rays - Dallas Nov 2018,"10,11,29,31,35,38,39,40,41,43,44,53","5,7,9,14,15,22,20","61,67,71,77,81,87",Y,0,-150,Pacific,Y,Y,p8f4,bottom_left,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7218,0.728,0.7341,0.7403,0.7423,0.7444,0.7424,0.7344,0.7222,0.704,0.6858,0.6676,0.6514,0.625,0.6027,0.5845,0.5643,0.542,0.5217,0.5034,0.4893,0.4711,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2016,Lennert-Cody_2016,Lennert-Cody et al. 2016. Updated Stock Status Indicators for Silky Sharks in the Eastern Pacific Ocean. ,fishery_independent,sCPUE,individual,NA,NA,set,NA,NA,zero-inflated,seine,purse-seine,central southeastern pacific,NA,NA,"43,45","7,10,20","77,87",Y,-10,-110,Pacific,Y,Y,p128f2,bottom panel,11,128,Lennert_2015_SilkySharkSouth.png,Lennert_2015_SilkySharkSouth.txt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8214,4.3229,2.6918,3.5246,2.8155,1.9051,1.4985,2.0865,1.4493,1.2019,0.6657,0.8068,0.8329,0.729,0.6397,0.7234,0.879,0.7606,0.7145,0.7549,1.3141,1.3542,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2016,Lennert-Cody_2016,Lennert-Cody et al. 2016. Updated Stock Status Indicators for Silky Sharks in the Eastern Pacific Ocean. ,fishery_independent,sCPUE,individual,NA,NA,set,NA,NA,zero-inflated,seine,purse-seine,central northeastern pacific,NA,NA,"11,43","7,9,15","77,87",Y,10,-110,Pacific,Y,Y,p128f2,top panel,11,128,Lennert_2015_SilkySharkNorth.png,Lennert_2015_SilkySharkNorth.txt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4994,10.0571,9.7639,7.5746,4.6376,6.1834,5.9477,5.4249,3.9821,5.2414,4.7181,6.3216,4.8216,6.1951,6.5912,7.1029,9.3958,5.7698,3.3502,4.609,6.9594,10.631,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2018,Lennert-Cody_2018,"Lennert-Cody, C., Aires-da-Silva, A., & Maunder, M. N. (2018). Updated stock status indicators for silky sharks in the eastern Pacific Ocean, 1994-2017. In 9th Meeting of the Scientific Advisory Committee of the IATTC. La Jolla, California.",fishery_independent,sCPUE,individual,NA,NA,set,NA,NA,zero-inflated,seine,purse-seine,central northeastern pacific,North Pacific,IUCN Pelagic sharks and rays - Dallas Nov 2018,"11,43","7,9,15","77,87",Y,10,-110,Pacific,Y,Y,p8f2a,top panel - Large Grande,11,128,Lennert_2015_SilkySharkSouth.png,Lennert_2015_SilkySharkSouth.txt,Data were used in RLA without 1994 outlier (see Red List assessment 2018),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9068,2.2187,2.5514,2.5302,1.2588,1.1958,1.0495,1.174,0.7984,1.0687,0.6724,0.7551,0.6505,0.7957,1.1078,1.024,1.2318,0.8561,0.5641,0.4594,0.688,0.8333,0.5411,0.6031,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2019,Lennert-Cody_2019,"Lennert-Cody, C., Aires-da-Silva, A., & Maunder, M. N. (2019). Updated stock status indicators for silky sharks in the eastern Pacific Ocean, 1994-2018.",fishery_independent,sCPUE,individual,NA,NA,set,NA,NA,zero-inflated,seine,purse-seine,central northeastern pacific,NA,NA,"11,43","7,9,15","77,87",Y,10,-110,Pacific,Y,Y,p10f2a,top panel - Large Grande,,,,,Similar as Lennert-cody 2018. Data from Lennert-cody 2018 were used by IUCN (without 1994 outlier; see Red List assessment 2018).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.60768673,1.932534147,2.224939494,2.300354896,1.080136435,0.954458787,0.837868621,0.944212841,0.642351768,0.863917985,0.540890192,0.583299068,0.502731813,0.626571185,0.893417183,0.839465282,1.02754089,0.706732817,0.413018426,0.354378789,0.517255991,0.645907508,0.374246478,0.45421837,0.140498359,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis,2019,Lennert-Cody_2019,"Lennert-Cody, C., Aires-da-Silva, A., & Maunder, M. N. (2019). Updated stock status indicators for silky sharks in the eastern Pacific Ocean, 1994-2018.",fishery_independent,sCPUE,individual,NA,NA,set,NA,NA,zero-inflated,seine,purse-seine,central southeastern pacific,NA,NA,"43,45","7,10,20","77,87",Y,-10,-110,Pacific,Y,Y,p10f2a,bottom panel - Large Grande,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.928547942,3.245613968,1.960938195,2.966258358,2.360155151,0.820053713,0.858941631,1.794039912,1.196707591,0.977531643,0.574800206,0.643202618,0.436793886,0.543923251,0.315446274,0.429939223,0.544922561,0.301110277,0.386695088,0.198314024,0.437815515,0.334426031,0.22497481,0.466693956,0.0925359,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,galapagensis,2016,Tremblay-Boyer_2016,WCPFC Tremblay-Boyer 2016 EB-WP-08 Review of available information on non-key shark species including mobulids and fisheries interactions,fishery_independent,nCPUE,individual,NA,NA,set,NA,NA,NA,seine,purse seine,Western and Central Pacific,NA,NA,NA,"9,15,20,22","71,77",Y,-5,160,Pacific,Y,Y,p55fAI15,bottom left panel; median,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0153612,NA,NA,0.995339861,3.0153612,1.019974267,0.995339861,1.980716124,1.96839892,1.019974267,10.98459173,3.483414925,3.98842026,NA,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,galapagensis,2016,Tremblay-Boyer_2016,WCPFC Tremblay-Boyer 2016 EB-WP-08 Review of available information on non-key shark species including mobulids and fisheries interactions,fishery_independent,nCPUE,individual,NA,NA,1000hook,NA,NA,NA,longline,NA,Western and Central Pacific,NA,NA,NA,"9,15,20,22","61,71,77,81",Y,0,180,Pacific,Y,Y,p55fAI16,bottom left panel; median,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.337326928,0.550136629,0.836387647,1.194201419,5.201715672,5.452185313,2.374986869,0.979513156,0.80060627,4.772339145,2.124517228,2.124517228,1.695140701,0.979513156,2.267642737,2.267642737,0.442792497,0.907950401,2.017173096,6.132031481,0.442792497,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,isodon,2016,Peterson_2016,Peterson et al. 2016 - THESIS: Patterns of Abundance and Community Dynamics in Atlantic Coastal Sharks,fishery_independent,standardized_abundance,individual,NA,NA,NA,NA,NA,GLM,longline,NA,North Carolina to Brownsville (USA),North Carolina to Brownsville (USA),IUCN NWAtlantic sharks and rays - Bahamas June 2019,"5,6,12",NA,"21,31",Y,31,-81,Atlantic,Y,Y,p59f6,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1271,-1.3596,-1.2225,-1.3627,-1.5029,-1.6429,-1.9217,-2.2929,-1.7862,-1.187,-0.0796,1.3049,0.333,-0.3154,0.2838,-0.5032,-0.3199,-0.1829,1.1555,NA,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,leucas,2006,Dudley_2006b,10.1071/MF05156,other,sCPUE,individual,NA,km,net,NA,NA,NA,bather_protection_net,midwater,Kwazulu-Natal coast South-Africa,NA,NA,51,NA,51,N,-29,33,Indian,Y,N,p231f2,Carcharhinus_leucas,7,231,Dudley_2006_BullShark.png,Dudley_2006_BullShark.txt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7191,1.3769,1.1919,0.8665,1.0468,1.1482,1.1263,1.7728,2.0148,1.9816,1.701,1.6679,0.893,1.0508,0.5625,1.0854,1.069,1.1762,0.5924,0.4748,0.3854,0.7229,0.538,0.5047,0.4996,0.3034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,leucas,2012,Carlson_2012a,10.1111/j.1095-8649.2011.03193.x,fishery_independent,sCPUE,individual,NA,NA,NA,divided_by_mean,NA,delta_lognormal_GLM,longline,pelagic,Northwest Atlantic,NA,NA,"5,6,12",28,"21, 31",Y,30,-81,Atlantic,Y,Y,p1757f2a,NA,9,1757,Carlson_2012_BullShark.png,Carlson_2012_BullShark.txt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5017,0.4214,0.301,0.3211,0.5017,1.505,0.301,0.8027,0.9231,1.0033,1.0836,0.9832,0.4615,0.7625,3.0903,3.0903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Carcharhiniformes,Carcharhinidae,Carcharhinus,leucas,2013,Froeschke_2013,10.1139/cjfas-2012-0037,fishery_independent,sCPUE,individual,NA,NA,NA,NA,NA,zero-altered_negative_binomial ,gillnet,bottom,Gulf of Mexico,NA,NA,6,NA,31,Y,25,-88,Atlantic,Y,Y,p19f5,NA,7,19,Froeschke_2013_BullShark.png,Froeschke_2013_BullShark.txt,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1912,0.1758,0.2691,0.3345,0.378,0.3657,0.4466,0.369,0.3598,0.4562,0.4252,0.3849,0.3663,0.354,0.382,0.4132,0.3512,0.3513,0.429,0.4198,0.4665,0.4231,0.507,0.4823,0.4762,0.4701,0.4981,0.5013,0.4921,0.517,0.4923,0.5295,0.4426,0.4708,0.5051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
