Superorder,Order,Family,Genus,Species,Source_year,AuthorYear,DataSource,Source_observation,General_data_type,Unit,Unit_time ,Unit_spatial,Unit_gear,Unit_transformation,Unit_freeform,Model,Sampling_method_general,Sampling_method_info,Dataset_location,Dataset_representativeness_experts,Experts_for_representativeness,Coastal_province,Pelagic_province,FAO_area,Dataset_map,Latitude ,Longitude,Ocean,Datamined,Variance,PageAndFigureNumber,LineUsed,PDFPage,ActualPage,FigureName,FigureData,Comments,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Galeomorphii,Lamniformes,Alopiidae,Alopias,"superciliosus,vulpinus,pelagicus",2015,Rice_2015,10.13140/RG.2.1.3369.0321,fishery_independent,sCPUE,individual,NA,NA,1000hook,NA,NA,GLM,longline,NA,Pacific,Pacific,IUCN Pelagic sharks and rays - Dallas Nov 2018,"29,31,32,35,36,37,38,39,40,41,53,54,55,56","9,15,20,22,36","57,61,71,81,77",Y,-10,-170,Pacific,Y,Y,p90f43,blue,,,,,"Time-series represents group: Alopias superciliosus, A. vulpinus, A. pelagicus. Used for A. pelagicus in Pacific; IUCN Pelagic sharks and rays - Dallas Nov 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1754,-0.0808,0.4217,0.5695,0.4276,0.7941,0.6286,0.2443,0.2857,-0.1222,0.1557,0.333,0.2739,0.1261,0.1911,0.2739,-0.134,-0.264,-1.133,NA,NA,NA,NA,NA,NA
Galeomorphii,Lamniformes,Alopiidae,Alopias,vulpinus,2016,Teo_2016,10.7289/V5/TM-SWFSC-557,stock_assessment,standardized_biomass,ton,NA,NA,NA,NA,Spawning Biomass,stock_synthesis,multiple,"drift gillnet, recreational line, pelagic longline",Eastern North Pacific,NA,NA,NA,5,"67,77",N,40,-125,Pacific,Y,N,p101f5.8,top righ panel,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10830.35714,10829.30229,10839.66245,10839.66245,10818.94213,10818.94213,10798.22182,10767.14135,10539.2179,10249.13351,9700.045208,8912.673297,7773.056058,6695.599759,5835.706751,5110.495781,4633.928571,4167.721519,3898.357444,3722.23478,3670.433996,3670.433996,3732.594937,3722.23478,3597.912899,3349.269138,3131.705847,3131.705847,3256.027728,3452.870705,3452.870705,3421.790235,3473.591019,3742.955093,4001.959011,4457.805907,4747.890295,5255.537975,5763.185654,5763.185654,5742.465341,5783.905967,6426.235684,7431.170886,8156.381857,8653.669379,NA,NA,NA,NA,NA,NA
Galeomorphii,Lamniformes,Alopiidae,Alopias,vulpinus,2016,Teo_2016,10.7289/V5/TM-SWFSC-557,fisheries,nCPUE,individual,hoursoak,NA,kmnet,NA,NA,NA,gillnet,NA,California,North Pacific,IUCN Pelagic sharks and rays - Dallas Nov 2018,"10,11",5,"67,77",Y,39,-124.75,Pacific,Y,N,p135fA2,Bottom panel,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1022,0.0522,0.0335,0.0348,0.0193,0.00442,0.018,0.0344,0.0389,0.0372,0.0296,0.0141,0.0195,0.0367,0.0415,0.0475,0.0225,0.0518,0.0387,0.0604,0.0934,0.0522,0.0522,0.0344,0.1076,0.0326,0.1266,0.0568,0.0309,0.0882,0.068,0.0316,0.0449,NA,NA,NA,NA,NA,NA,NA
Galeomorphii,Lamniformes,Alopiidae,Alopias,vulpinus,2016,Young_2016a,Young et al. 2016. Status review report: common thresher shark (Alopias vulpinus) and bigeye thresher shark (Alopias superciliosus). ,fishery_independent,sCPUE,individual,NA,NA,1000hook,divided by 1 st year,NA,delta lognormal GLM,longline,NA,West Atlantic,North Atlantic,IUCN Pelagic sharks and rays - Dallas Nov 2018,"5,6,12","8, 26, 28, 31,32","21,31, 41",N,27,-68,Atlantic,Y,Y,p79f41,top panel,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.7744,0.2402,0.0914,0.00196,0.0114,0.000973,0.0202,0.4843,0.0588,0.0583,0.1171,0.4329,0.3435,0.1651,0.214,0.2432,0.0647,0.084,0.2021,0.1621,0.043,NA,NA,NA,NA,NA,NA,NA
Batoidea,Rajiformes,Rajidae,Amblyraja,hyperborea,2017,Knutsen_2017,"Knutsen, M., Thangstad, T. H., Søvik, G. and Albert, O.T. 2017. Survey trends of skates in Norwegian waters. Working document for the ICES Elasmobranch Working Group (WGEF) 2017.",fishery_independent,biomass,ton,NA,NA,NA,NA,NA,NA,trawl,NA,Barent Sea,NA,NA,"1,2",1,27,Y,74,37,Atlantic,N,N,p6f1,Arctic skate,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612.315454,2415.386703,2473.616792,2901.277949,7506.754718,9979.745022,9597.728934,14347.7112,4885.475362,10765.8398,3175.704635,14822.9085,3476.139358,1250.516562,NA,NA,NA,NA
Batoidea,Rajiformes,Rajidae,Amblyraja,radiata,2019,ICES_2019,10.17895/ices.pub.5594,fishery_independent,sCPUE,kg,hour,NA,NA,NA,NA,NA,trawl,bottom,"North Sea, IBTS-Q3",NA,NA,2,NA,27,N,57.5,-1.5,Atlantic,N,N,p388t15.6.8,IBTS-Q3,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.553,1.24,0.876,0.966,0.763,1.062,1.031,1.275,1.182,1.353,1.724,1.035,1.32,0.615,0.764,0.865,1.667,1.151,1.575,1.178,1.232,0.802,0.556,0.655,1.094,0.823,0.536,0.502,NA,NA
Batoidea,Rajiformes,Rajidae,Amblyraja,radiata,2019,ICES_2019,10.17895/ices.pub.5594,fishery_independent,sCPUE,kg,hour,NA,NA,NA,NA,NA,trawl,beam,"Southern North Sea, BTS ISI Q3",NA,NA,2,NA,27,N,54,5,Atlantic,N,N,p388t15.6.8,BTS ISI Q3,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101,0.178,0.075,0.387,0.124,0.038,0.014,0.023,0.102,0.237,0,0,0.059,0,0.016,0.035,0.034,0.015,0.171,0.112,0,NA,0.494,0,0,0.051,0.047,0.318,0.074,0.165,NA,NA,NA,NA
Batoidea,Rajiformes,Rajidae,Amblyraja,radiata,2019,ICES_2019,10.17895/ices.pub.5594,fishery_independent,sCPUE,kg,hour,NA,NA,NA,NA,NA,trawl,beam,"Southern and central North Sea, BTS TRi Q3",NA,NA,2,NA,27,N,54,5,Atlantic,N,N,p388t15.6.8,BTS TRi Q3,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.493,4.383,6.313,8.558,8.015,4.733,5.947,4.486,5.14,5.407,4.089,5.191,6.182,6.321,6.176,4.709,3.467,3.253,3.475,4.071,2.7,1.558,1.236,NA,NA
Batoidea,Rajiformes,Rajidae,Amblyraja,radiata,2019,ICES_2019,10.17895/ices.pub.5594,fishery_independent,sCPUE,kg,hour,NA,NA,NA,NA,NA,trawl,beam,"south eastern North Sea, BTS GFR Q3",NA,NA,2,NA,27,N,56,6,Atlantic,N,N,p388t15.6.8,BTS GFR Q3,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179,0.164,0.111,0.036,NA,6.359,5.996,4.587,3.765,2.789,5.721,2.753,0.535,3.039,3.112,2.829,1.956,NA,NA
Batoidea,Rajiformes,Rajidae,Amblyraja,radiata,2019,ICES_2019,10.17895/ices.pub.5594,fishery_independent,sCPUE,individual,hour,NA,NA,NA,NA,NA,trawl,bottom,"North Sea, IBTS-Q1",NA,NA,2,NA,27,N,60,1,Atlantic,N,N,p381t15.6.1,IBTS-Q1,,,,,"Data similar to Amblyraja radiata unpubl. data from DATRAS (the Database of Trawl Surveys), compiled by Jim Ellis, used in Red List assessment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.717,1.762,7.244,4.964,3.956,7.278,11.221,3.792,8.016,5.694,4.816,5.09,6.725,7.769,2.692,4.173,4.613,4.332,3.69,2.288,4.231,3.129,1.333,1.4,1.281,1.67,1.191,1.088,1.941,1.374,0.968,0.284,0.495,NA
