sharkipedia_id,sharkipedia_source,sharkipedia_doi,extracted_title,extracted_year
garrick1960,"GARRICK, J.A.F. (1960) Studies on New Zealand Elasmobranchii. Part XI. Squaloids of the genera Deania, Etmopterus, Oxynotus, and Dalatias in New Zealand waters. Transactions of the Royal Society of New Zealand, 88 (3): 489",,Studies on New Zealand Elasmobranchii,1960
garzagisholt2004,"Garza-Gisholt, E. (2004) Edad y Crecimiento de Sphyrna zygaena (Linnaeus, 1758) en las costas de Baja California Sur, México. Bachelor thesis. Universidad Autonoma de Baja California Sur. Mexico. 61 p.",,"Edad y Crecimiento de Sphyrna zygaena (Linnaeus, 1758) en las costas de Baja California Sur, México",2004
harry2011a,"HARRY, A.V. & SIMPFENDORFER, C.A. (2011) Evaluating the effects of sex-biased harvesting on widely distributed sharks. Abstract In: Program and Abstracts for the 2011 Workshop and Conference of the Oceania Chondrichthyan Society, 13th",,Evaluating the effects of sex-biased harvesting on widely distributed sharks,2011
hernandezlazo2012,"Hernández-Lazo, C. C. (2012) Parámetros de edad y crecimiento para la evaluación de la población de la raya Dasyatis americana en el sureste del Golfo de México. Master thesis. El Colegio de la Frontera Sur. Mexico. 61 p.",,Parámetros de edad y crecimiento para la evaluación de la población de la raya Dasyatis americana en el sureste del Golfo de México,2012
lopezgarcia2006,"López-García, L. I. (2006) Edad y crecimiento del tiburón bironche, Rhizoprionodon longurio (jordan y Gilbert, 1882) en Mazatlán, Sinaloa. Bachelor thesis. Universidad Nacional Autónoma de México. Mexico. 69 pp.",,"Edad y crecimiento del tiburón bironche, Rhizoprionodon longurio (jordan y Gilbert, 1882) en Mazatlán, Sinaloa",2006
mejiasalazar2007,"Mejía-Salazar. 2007. Biología reproductiva del cazón bironche, Rhizoprionodon longurio (Jordan & Gilbert, 1882) en el Pacífico mexicano. Master thesis. Centro Interdisciplinario de Ciencias Marinas. Mexico. 82 pp.",,,
mendezloeza2008,"Méndez-Loeza, I. (2008) Edad y crecimiento del cazón pardo, Mustelus henlei (Gill, 1863), en la región norte del Golfo de California. Master thesis. Centro Interdisciplinario de Ciencias Marinas. Mexico. 57 p.",,"Edad y crecimiento del cazón pardo, Mustelus henlei (Gill, 1863), en la región norte del Golfo de California",2008
mondragonsanchez2015,"Mondragón-Sánchez, L. F. (2015) Demografía del tiburón sedoso Carcharhinus falciformis (Müller y Henle, 1839), en el Pacífico central mexicano. Master thesis. Universidad Nacional Autónoma de México. Mexico. 82 pp.",,"Demografía del tiburón sedoso Carcharhinus falciformis (Müller y Henle, 1839), en el Pacífico central mexicano",2015
morazamacona2017,"Mora-Zamacona, P. (2017) Estimación de la edad y el crecimiento individual de la raya eléctrica Narcine entemedor (Jordan y Starks, 1895) en la Bahía de La Paz, Baja California Sur. Master thesis. Centro Interdisciplinario de Ciencias Marinas. Mexico. 50 p.",,"Estimación de la edad y el crecimiento individual de la raya eléctrica Narcine entemedor (Jordan y Starks, 1895) en la Bahía de La Paz, Baja California Sur",2017
morenoiturria2012,"Moreno Iturria DA (2012) Demography of the family Pristi- dae as an aid to conservation and management. BSc (Honours) dissertation, James Cook University, Townsville",,Demography of the family Pristi- dae as an aid to conservation and management,2012
