"our_journal_name","paper_count"
"In Hagdorn","1"
"In Stepanov","1"
"In Australian Society for Fish Biology Tagging Workshop Sydney","1"
"In CRAME J.A.","1"
"In Resultados de las Expediciones Oceanografico–Pesqueras ""Benguela I""(","1"
"In Shark repellants from the sea: new perspectives","1"
"In NITECKI","1"
"In HUREAU","1"
"In Mascarius Pasatius","1"
"In J. Baker(ed.)","1"
"In Fossilium Catalogus. I: Animalia. Pars","1"
"In Life in the Slow Lane: Ecology and Conservation of Long–Lived Marine Animals","1"
"In Marine Fisheries Research and Management. Pillai","1"
"In TINTORI","1"
"In D. E. G.","1"
"In Brock","1"
"In Ferrantia","1"
"In Great White Shark Conservation Research Workshop(New York","1"
"In Análise das Principais Pescarias Comerciais da Região Sudeste-Sul do Brasil: Dinâmica Populacional das Espécies em Explotação – II","1"
"In S.G. Lucas","1"
"In Book of Abstracts: CPEG","1"
"In J.A. Talent ed. Global biodiversity","1"
"In L. F. Del Moral-Flores et al. (Eds.). Colecciones ictiológicas de Latinoamérica. MNHN Museo Nactional de Historia Natural","1"
"In Marine Extinctions – Patterns and Processes – Valencia","1"
"In Bernissart dinosaurs and Early Cretaceous terrestrial ecosystems","1"
"In El Neógeno de la Mesopotamia argentina. D. Brandoni y J.I. Noriega","1"
"In Udodov","1"
"In Daniela SCHWARZ–WINGS","1"
"In Biology and Management of Dogfish Sharks","1"
"In Vivo","1"
"In Bodego et al. (Eds.)","1"
"In III Simposion Nacioinal de Tiburones y Rayas. Facultad de Ciencias UNAM","1"
"In Geological history of Moscow region in natural sciences museums of Russian Academy of Sciences. Moscow : Nauka","1"
"In S. Stamberg ed. C/p symposium","1"
"In Zoological Catalogue of Australia. Volume","1"
"In Nel D.C. & Peschak T.P. (Eds) Finding a balance: white shark conservation and recreational safety in the inshore waters of Cape town","1"
"In Mesozoic Terrestrial Ecosystems","1"
"In Dehler","1"
"In Condrictios del golfo San Matías: biología","1"
"In Zootierhaltung – Tiere in menschlicher Obhut","1"
"In AHLBERG","1"
"In Makhlina","1"
"In Biogeography and Geological Evolution of SE Asia:","1"
"In Basical Data on Rare Aquatic Wildlife in Japan","1"
"In Hancock","1"
"In Okutani T.","1"
"In Doty","1"
"In J. Daget","1"
"In V.A. Funk and D.R. Brooks(editors)","1"
"In Rasul","1"
"In «The geology of Dallas County». Dallas geol. Soc.:","1"
"In Ecological Aspects of Parasitology(edited by Kennedy C.R.):","1"
"In Harden–Jones","1"
"In Pacific Section","1"
"In CLOFNAM. Check–list of the fishes of the north–eastern Atlantic and of the Mediterranean/Catalogue des poissons de I'Atlantique du nord–est et de la Méditerranée","1"
"In The fauna of India and the adjacent countries. Vol.","1"
"In Tavolga","1"
"In Continental fishes of northern and north–western Australia. Eds","1"
"In Fossilien von Sylt II","1"
"In Paläontologische Kursbücher","1"
"In Caton","1"
"In Exkursionen im Tertiär Österreichs : Molassezone","1"
"In BAS","1"
"In Smith","1"
"In Book of Abstracts: RIF","1"
"In Jacobs","1"
"In New Mediterranean Biodiversity Records(April","1"
"In Geoecologia Proceedings of the XV-th national symposium:","1"
"In Poyato–Ariza","1"
"In Current Trends in Paleontology and Evolution","1"
"In Jahrestagung der Paläontologischen Gesellschaft vom","1"
"In Stratotype Cénomanien","1"
"In Krupp","1"
"In MacLean","1"
"In Meeting Program & Abstracts","1"
"In Fernandez-Gil C et al.","1"
"In Palaeontological and geological monuments and collections: significance of museums for their study and preservation: Collection of scientific articles","1"
"In Vitro Cellular & Developmental Biology – Animal","1"
"In Structure and dynamics of ecosystems of Dinarides(status","1"
"In World Association of Copepodologists: Fourth International Conference on Copepoda","1"
"In Compendium of Trace Metals and Marine Biota:","1"
"In Field Guide to Fossils Number","1"
"In Wang","1"
"In E. Díaz–Martínez e I. Rábano(Eds.)","1"
"In TIMM","1"
"In S. Garman","1"
"In Svoboda J.","1"
"In Grzimek's Animal Life Encyclopedia","1"
"In Donald R. Prothero","1"
"In Proceedings of International Conference on Sustained Management of Coastal Ecosystems","1"
"In Management of Scombroid Fisheries. Pillai","1"
"In H. Hagdorn & A. Seilacher(Eds)","1"
"In Adaptability and conservation of freshwater elasmobranchs. Report of Research Project","1"
"In book: XIII Jornadas de Paleontología. Libro de Resúmenes y Excursiones","1"
"In : La limite Crétacé–Tertiaire : Aspects biologiques et géologiques. Séance spécialisée de la société géologique de France. Paris","1"
"In Nowak","1"
"In Nairn","1"
"In MARK–KURIK","1"
"In Noel","1"
"In T. Condon","1"
"In R.F. Kay","1"
"In J. A. Schiebout and W. van den Bold(eds.)","1"
"In Dutro","1"
"In World Association of Copepodologists: Second International Conference on Copepoda","1"
"In Kapoor BG","1"
"In J.M. Jørgensen","1"
"In A. Fessard(ed.) Handbook of Sensory Physiology","1"
"In J.–C. Hureau & T. Monod","1"
"In P.W. Gilbert(ed.) Sharks and Survival","1"
"In Primer Congreso Nacional de Pesque rías marítimas e industrias derivadas","1"
"In Resultados de una Campaña de Evaluación de Recursos Demersales Costeros de la Provincia de Buenos Aires","1"
"In Knox","1"
"In Fossils of the Chalk (second edition)","1"
"In Swift","1"
"In BLIECK","1"
"In Amazonia: Landscape and Species Evolution: A look into the past(eds C. Hoorn and F. P. Wesselingh)","1"
"In Hooper JNA","1"
"In Book of abstracts","1"
"In Ciencias marino-costeras en el umbral del siglo XXI Desafíos en Latinoamérica y el Caribe","1"
"In Pystin","1"
"In Fuscaldo","1"
"In Vooren","1"
"In Fayard","1"
"In Seamounts: Ecology","1"
"In At the top of the Grand Staircase – The Late Cretaceous of southern Utah. LOEWEN","1"
"In T.Haug","1"
"In Pesquerías Latinoamericanas","1"
"In Merrick","1"
"In E.U.A.C. Congress","1"
"In Eds. A. Yu. Rozanov","1"
"In Qun Yang","1"
"In Felger","1"
"In Kalabin","1"
"In Fisheries: Management","1"
"In New Developments in the Psychology of Motivation. F. Olsson(ed). Nova Biomedical Books","1"
"In Yushkin N.P.","1"
"In Swimmer","1"
"In FERRE","1"
"In Contributions to the Paleontology of New Jersey(II)","1"
"In Sibert JR","1"
"In Summary of Investigations","1"
"In Paterson","1"
"In McNamara","1"
"In Keys to the Cestode Parasites of Vertebrates","1"
"In Biology of the oceanic fish and squids. Transactions of the P.P. Shirshov Institute of Oceanology","1"
"In “Stratotype de l'Albien”","1"
"In Schriever","1"
"In Barskov","1"
"In Encyclopedia of Animal Behavior. Breed","1"
"In “Proceedings of the Second Symposium on Resource Investigations in the Northwestern Hawaiian Islands.” UNIHI–SEAGRANT–MR–","1"
"In T. Taniuchi and M. Suyama(eds.). Elasmobranchs as fishery resources. p.","1"
"In Szabo","1"
"In TORTONESE","1"
"In Geologiske naturperler","1"
"In The Fossil Record. HARLAND","1"
"In Encyclopedia of Fish Physiology. (Eds. Cech","1"
"In Abstracts of the International Behavioral Neuroscience Society","1"
"In Piller","1"
"In Vitro Cellular & Developmental Biology Animal","1"
"In The Old Red Sandstone: is it Old","1"
"In Colombia ISBN:","1"
"In Freshwater Fishes of North America","1"
"In Animal Social Networks:","1"
"In Oceanographic and Biological Aspects of the Red Sea","1"
"In Galzin R","1"
"In Van der Elst RP and Everett BI.","1"
"In Marine Historical Ecology in Conservation: Applying the Past to Manage for the Future.(Kitinger","1"
"In Database of fossil elasmobranchteeth","1"
"In Marisia","1"
"In Fish Locomotion – an etho–ecological perspective. (Eds. Domenici","1"
"In TIMETREE of LIFE","1"
"In Paléontologie des vertébrés du Maroc: état des connaissances","1"
"In Oceania Chondichthyan Society First workshop and conference","1"
"In OCS Virtual Conference","1"
"In N. Bueno-Guerra & F. Amici(Eds.)","1"
"In XIX Congresso Nacional de Ecologia","1"
"In Kelley P.H.","1"
"In I.C. Liao and J. Baker(eds.) Proceedings of the joint Taiwan–Australia aquaculture and fisheries resources and management forum.","1"
