openalex_author_id,display_name,institution,country,papers,gender,origin_country,origin_region,ethnicity,inst_city,inst_region,inst_lat,inst_lon
A5082317939,Felipe Galván‐Magaña,Instituto Politécnico Nacional,MX,188,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5018184500,David A. Ebert,Moss Landing Marine Laboratories,US,139,M,CH,Europe,German,Moss Landing,California,36.8044,-121.7869
A5069148631,Christopher G. Lowe,"California State University, Long Beach",US,96,M,GB,Europe,British,Long Beach,NA,33.76696014404297,-118.1892318725586
A5070433559,Kenshu Shimada,Fort Hays State University,US,86,M,JP,Asia,Japanese,Hays,Kansas,38.87918,-99.32677
A5011629984,Nicholas K. Dulvy,Simon Fraser University,CA,75,M,IE,Europe,Irish,Burnaby,British Columbia,49.26636,-122.95263
A5013100664,Mauricio Hoyos‐Padilla,University of Colorado Colorado Springs,US,71,M,ES,Europe,Hispanic,Colorado Springs,NA,38.83388137817383,-104.82135772705078
A5069752865,James A. Sulikowski,Oregon State University,US,71,M,PL,Europe,Polish,Corvallis,Oregon,44.56457,-123.26204
A5012365378,Kevin A. Feldheim,Field Museum of Natural History,US,71,M,NO,Europe,German,Chicago,Illinois,41.85003,-87.65005
A5013254490,Jun A. Ebersole,University of Alabama at Birmingham,US,61,M,NO,Europe,Austrian,Birmingham,Alabama,33.52066,-86.80249
A5016661983,Barbara A. Block,Hopkins Marine Station (Stanford),US,67,F,AT,Europe,German,Pacific Grove,California,36.6219,-121.9042
A5082610917,Gary L. Stringer,University of Louisiana at Monroe,US,53,M,GB,Europe,Austrian,Monroe,Louisiana,32.5292854309082,-92.07239532470705
A5011699441,James T. Ketchum,Instituto Politécnico Nacional,MX,48,M,IE,Europe,British,Mexico City,Mexico City,19.42847,-99.12766
A5079902325,Andrea D. Marshall,Marine Megafauna Foundation,US,47,F,GB,Europe,British,Truckee,California,39.32731246948242,-120.2057876586914
A5070982607,A. Peter Klimley,"University of California, Davis",US,45,M,DE,Europe,British,Davis,California,38.54491,-121.74052
A5036305829,Christoph A. Rohner,Marine Megafauna Foundation,US,44,M,AT,Europe,Swiss,Truckee,California,39.32731246948242,-120.2057876586914
A5028037221,Oscar Sosa‐Nishizaki,Centro de Investigación Científica y de Educación Superior de Ensenada,MX,43,M,IL,Asia,Hispanic,Ensenada,Baja California,31.87149,-116.60071
A5070191034,Salvador J. Jorgensen,"California State University, Monterey Bay",US,44,M,NO,Europe,Swedish,Seaside,NA,36.61106872558594,-121.85162353515624
A5012847693,Adam P. Summers,University of Washington,US,42,M,GB,Europe,British,Seattle,Washington,47.60621,-122.33207
A5067458356,Neil Hazon,Andrews University,US,41,M,GB,Europe,Jewish,Berrien Springs,Michigan,41.94643,-86.3389
A5053355169,Gregor M. Cailliet,Moss Landing Marine Laboratories,US,43,M,CH,Europe,French,Moss Landing,California,36.8044,-121.7869
A5108209670,Kirsten Jensen,University of Kansas,US,39,F,DK,Europe,Danish,Lawrence,Kansas,38.97167,-95.23525
A5018859861,Taylor K. Chapple,Oregon State University,US,45,M,GB,Europe,British,Corvallis,Oregon,44.56457,-123.26204
A5111549449,George W. Benz,Middle Tennessee State University,US,36,M,CH,Europe,Swiss,Murfreesboro,Tennessee,35.84562,-86.39027
A5048543419,J. Marcus Drymon,Mississippi State University,US,36,M,SE,Europe,Swedish,Starkville,Mississippi,33.45049,-88.81961
A5000107564,J. Fernando Márquez‐Farías,Universidad Autónoma de Sinaloa,MX,33,M,PT,Europe,Portuguese,Culiacán,Sinaloa,24.80209,-107.39421
A5001067683,R. J. David Wells,Texas A&M University at Galveston,US,33,M,GB,Europe,British,Galveston,NA,29.30134963989257,-94.797698974609375
A5031139778,Chugey A. Sepúlveda,Pfleger Institute of Environmental Research,US,30,Unknown,ES,Europe,Hispanic,Oceanside,California,33.19929122924805,-117.37681579589844
A5077548094,Fernando R. Elorriaga‐Verplancken,Instituto Politécnico Nacional,MX,30,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5060692633,W. Gary Anderson,Bamfield Marine Sciences Centre,CA,30,M,GB,Europe,Scottish,Ucluelet,British Columbia,48.83565902709961,-125.13549041748048
A5045878545,David S. Portnoy,Texas A&M University – Corpus Christi,US,30,M,GB,Europe,Jewish,Corpus Christi,NA,27.80057907104492,-97.39637756347656
A5060471197,Píndaro Díaz‐Jáimes,Universidad Nacional Autónoma de México,MX,28,M,PT,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5006534782,Steven T. Kessel,Shedd Aquarium,US,27,M,NL,Europe,German,Chicago,Illinois,41.86764526367188,-87.61309051513672
A5021873392,Michael I. Coates,University of Chicago,US,26,M,GB,Europe,British,Chicago,Illinois,41.85003,-87.65005
A5016742531,Rogelio González‐Armas,Instituto Politécnico Nacional,MX,26,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5017814792,Edgar E. Becerril‐García,Instituto Politécnico Nacional,MX,25,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5113088780,John B. O’Sullivan,"California State University, Monterey Bay",US,25,M,IE,Europe,Irish,Seaside,NA,36.61106872558594,-121.85162353515624
A5012876322,Jill M. Hendon,University of Southern Mississippi,US,24,F,IE,Europe,British,Hattiesburg,NA,31.327119827270508,-89.29033660888672
A5088827087,Jennifer E. Caselle,"University of California, Santa Barbara",US,26,F,IE,Europe,French,Santa Barbara,California,34.42083,-119.69819
A5032735013,Darren A. Whitehead,MSD (Mexico),MX,23,M,GB,Europe,British,Mexico City,NA,19.428470611572266,-99.1276626586914
A5089238682,Víctor Hugo Cruz‐Escalona,Instituto Politécnico Nacional,MX,23,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5063743061,Samantha Andrzejaczek,Pacific University,US,22,F,PL,Europe,Polish,Forest Grove,NA,45.51984024047852,-123.11065673828124
A5056603621,Sora L. Kim,"University of California, Merced",US,22,F,KR,Asia,Korean,Merced,NA,37.30215835571289,-120.48297119140624
A5009750551,Nicolás Roberto Ehemann,Instituto Politécnico Nacional,MX,22,M,CH,Europe,German,Mexico City,Mexico City,19.42847,-99.12766
A5043188893,Ana Judith Marmolejo-Rodríguez,Instituto Politécnico Nacional,MX,20,F,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5074413866,Scot D. Anderson,Inverness Research (United States),US,20,M,GB,Europe,Scottish,Inverness,California,38.097442626953125,-122.85320281982422
A5024153521,Glenn R. Parsons,University of Mississippi,US,20,M,GB,Europe,British,Oxford,NA,34.36650085449219,-89.51924896240234
A5001335508,Wataru Takagi,Sphere Institute,US,20,M,JP,Asia,Japanese,Burlingame,California,37.590457916259766,-122.3414306640625
A5079679187,Francisco Arreguı́n-Sánchez,Instituto Politécnico Nacional,MX,19,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5053638242,Stephanie K. Venables,Marine Megafauna Foundation,US,19,F,GB,Europe,British,Truckee,California,39.32731246948242,-120.2057876586914
A5061940018,José Leonardo Castillo‐Geniz,Centro de Investigación Científica y de Educación Superior de Ensenada,MX,19,M,ES,Europe,Portuguese,Ensenada,Baja California,31.87149,-116.60071
A5017175608,Hilário Murua,Ability Found,US,19,M,MZ,Africa,Hispanic,West Valley City,Utah,40.7202262878418,-111.95831298828124
A5020893508,Patrick J. Walsh,Bamfield Marine Sciences Centre,CA,18,M,IE,Europe,Irish,Ucluelet,British Columbia,48.83565902709961,-125.13549041748048
A5038542529,Sean P. Powers,University of South Alabama,US,18,M,IE,Europe,Irish,Mobile,NA,30.694360733032227,-88.04305267333984
A5072875451,Ramón Bonfil,El Colegio de la Frontera Sur,MX,18,M,ES,Europe,Jewish,Campeche,Campeche,19.84073,-90.51676
A5071276612,Matthew A. Kolmann,University of Louisville,US,18,M,CH,Europe,German,Louisville,NA,38.25423812866211,-85.75940704345703
A5039530170,Ofelia Escobar-Sánchez,Universidad Autónoma de Sinaloa,MX,18,F,ES,Europe,Hispanic,Culiacán,Sinaloa,24.80209,-107.39421
A5080644663,Alexandre Aires‐da‐Silva,Inter-American Tropical Tuna Commission,US,18,M,PT,Europe,Portuguese,La Jolla,California,32.84727,-117.2742
A5090284833,Felipe Amezcua,Universidad Nacional Autónoma de México,MX,17,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5110429977,L.E.L. Rasmussen,Oregon Institute of Technology,US,17,F,DK,Europe,Danish,Klamath Falls,NA,42.22486877441406,-121.78166961669922
