from,to,weight
A5000107564,A5081784119,2
A5000107564,A5082317939,3
A5000107564,A5084013996,1
A5000107564,A5084505638,4
A5000107564,A5086243047,1
A5000107564,A5087233282,1
A5000107564,A5089786279,1
A5000107564,A5091797033,1
A5000107564,A5091803399,2
A5000107564,A5103987246,1
A5000107564,A5113742321,2
A5000112408,A5006534782,1
A5000112408,A5012365378,5
A5000112408,A5024466635,1
A5000112408,A5026396674,1
A5000112408,A5036953773,1
A5000112408,A5043963550,1
A5000112408,A5057621074,1
A5000112408,A5059851466,1
A5000112408,A5063300827,1
A5000112408,A5090804923,1
A5000130991,A5003477041,4
A5000130991,A5015312535,3
A5000130991,A5016063759,4
A5000130991,A5029890441,1
A5000130991,A5052132995,4
A5000130991,A5058497264,4
A5000130991,A5103765715,1
A5000141795,A5002372626,1
A5000141795,A5012070424,2
A5000141795,A5019948998,1
A5000141795,A5034813254,2
A5000141795,A5040891868,6
A5000141795,A5042076331,1
A5000141795,A5045037376,1
A5000141795,A5046790842,6
A5000141795,A5067172809,1
A5000141795,A5069449452,3
A5000141795,A5078431100,1
A5000141795,A5084952958,3
A5000141795,A5090219740,1
A5000141795,A5103119001,4
A5000141795,A5116691835,1
A5000162065,A5018338322,2
A5000162065,A5081654953,2
A5000162065,A5109469774,1
A5000190168,A5002022556,3
A5000190168,A5002284621,1
A5000190168,A5002558841,2
A5000190168,A5003477041,3
A5000190168,A5003585482,1
A5000190168,A5004079611,3
A5000190168,A5004789455,3
A5000190168,A5004995990,1
A5000190168,A5006117162,2
A5000190168,A5006156806,1
A5000190168,A5006534782,3
A5000190168,A5006677190,1
A5000190168,A5009058645,3
A5000190168,A5009592613,3
A5000190168,A5009804038,3
A5000190168,A5011699105,3
A5000190168,A5013100664,1
A5000190168,A5014389821,3
A5000190168,A5016273651,2
A5000190168,A5016794364,1
A5000190168,A5017214786,2
A5000190168,A5018648339,2
A5000190168,A5019308545,3
A5000190168,A5019748725,3
A5000190168,A5021605346,4
A5000190168,A5021861796,1
A5000190168,A5022098307,1
A5000190168,A5022578633,3
A5000190168,A5022631082,3
A5000190168,A5025915939,1
A5000190168,A5026137241,3
A5000190168,A5026888663,3
A5000190168,A5029427521,3
A5000190168,A5029873576,3
A5000190168,A5030500452,3
A5000190168,A5031386126,3
A5000190168,A5031528466,3
A5000190168,A5032101752,3
A5000190168,A5032563731,3
A5000190168,A5032588885,3
A5000190168,A5032940863,2
A5000190168,A5033241401,1
A5000190168,A5033887631,2
A5000190168,A5034910630,2
A5000190168,A5037044485,2
A5000190168,A5040443326,3
A5000190168,A5041238092,3
A5000190168,A5041995930,2
A5000190168,A5042359572,3
A5000190168,A5042949929,3
A5000190168,A5044538537,3
A5000190168,A5047610788,3
