from,to,weight
A5002856269,A5043214978,2
A5002856269,A5044752864,1
A5002856269,A5045280160,3
A5002856269,A5046615869,1
A5002856269,A5056604056,1
A5002856269,A5058645661,1
A5002856269,A5059052484,1
A5002856269,A5059440078,4
A5002856269,A5060482021,1
A5002856269,A5062978375,3
A5002856269,A5063175607,1
A5002856269,A5063300784,5
A5002856269,A5064242856,1
A5002856269,A5065257057,2
A5002856269,A5066151994,1
A5002856269,A5067477629,1
A5002856269,A5068490193,3
A5002856269,A5071858697,2
A5002856269,A5072038878,1
A5002856269,A5074016954,5
A5002856269,A5076431972,2
A5002856269,A5077306460,1
A5002856269,A5077392701,1
A5002856269,A5078953524,6
A5002856269,A5079602017,1
A5002856269,A5079902325,1
A5002856269,A5082530866,2
A5002856269,A5083611476,1
A5002856269,A5085933467,1
A5002856269,A5086250118,4
A5002856269,A5086410182,2
A5002856269,A5087750501,9
A5002856269,A5089067181,1
A5002856269,A5090219740,6
A5002856269,A5090801242,9
A5002856269,A5090861767,7
A5002856269,A5091351942,5
A5002856269,A5091427710,2
A5002856269,A5102810437,1
A5002856269,A5102950683,1
A5002856269,A5109531629,1
A5002856269,A5110267531,2
A5002856269,A5110564278,2
A5002856783,A5072800990,3
A5002871129,A5008480988,1
A5002871129,A5020097279,2
A5002871129,A5027950362,2
A5002871129,A5043201622,2
A5002871129,A5046264937,1
A5002871129,A5048028920,4
A5002871129,A5048108017,3
A5002871129,A5065866918,1
A5002871129,A5066269923,3
A5002871129,A5075349831,3
A5002871129,A5076145809,1
A5002875489,A5003477041,1
A5002875489,A5006422866,1
A5002875489,A5008055496,3
A5002875489,A5031139778,1
A5002875489,A5031443407,1
A5002875489,A5040113660,1
A5002875489,A5050428667,1
A5002875489,A5083104363,2
A5002875489,A5091823728,1
A5002875489,A5109078025,1
A5002916768,A5003394536,1
A5002916768,A5011699441,1
A5002916768,A5032735013,2
A5002916768,A5036448139,2
A5002916768,A5039432002,4
A5002916768,A5048275213,3
A5002916768,A5067397220,3
A5002916768,A5082317939,1
A5002916768,A5086127197,4
A5002925127,A5005755069,1
A5002925127,A5014989469,1
A5002925127,A5016224782,1
A5002925127,A5035817950,1
A5002925127,A5052108259,3
A5002925127,A5054455997,3
A5002925127,A5054850679,1
A5002925127,A5067516382,7
A5002925127,A5076201271,1
A5002925127,A5079013321,3
A5002925127,A5088112644,4
A5002925127,A5090623732,1
A5002925127,A5104455571,1
A5002925127,A5113645875,1
A5002946400,A5012309053,1
A5002946400,A5013658795,1
A5002946400,A5014440728,1
A5002946400,A5029997731,2
A5002946400,A5032322368,1
A5002946400,A5037458493,1
A5002946400,A5041479050,3
A5002946400,A5042355735,1
A5002946400,A5044025967,1
A5002946400,A5049731700,1
A5002946400,A5055025020,1
A5002946400,A5061893501,1
A5002946400,A5062044718,1
A5002946400,A5063404856,1
A5002946400,A5072286175,1
A5002946400,A5076201271,1
A5002946400,A5076510192,3
A5002946400,A5080683653,1
A5002961953,A5005258440,3
A5002961953,A5010621732,3
A5002961953,A5019832799,2
A5002961953,A5021787035,2
A5002961953,A5028759819,1
A5002961953,A5032997738,2
A5002961953,A5033950968,1
A5002961953,A5036755387,3
A5002961953,A5039024535,2
A5002961953,A5042359572,2
A5002961953,A5046943896,2
A5002961953,A5047187906,3
A5002961953,A5049668076,2
A5002961953,A5051310305,2
A5002961953,A5052064199,3
A5002961953,A5052268355,2
A5002961953,A5059527190,2
A5002961953,A5060516361,3
A5002961953,A5062775440,2
A5002961953,A5063608966,2
A5002961953,A5065052445,2
A5002961953,A5068629789,2
A5002961953,A5070780812,2
A5002961953,A5071158810,5
A5002961953,A5076445360,2
A5002961953,A5077306460,1
A5002961953,A5077683873,2
A5002961953,A5085992701,3
A5002961953,A5087880318,1
A5002961953,A5102950683,2
A5002961953,A5110545278,2
A5003016100,A5006457297,1
A5003016100,A5011629984,1
A5003016100,A5013757452,1
A5003016100,A5014473614,1
A5003016100,A5023486056,1
A5003016100,A5027889580,1
A5003016100,A5028985278,1
A5003016100,A5034838952,1
A5003016100,A5036531283,1
A5003016100,A5036847123,1
A5003016100,A5037587487,1
A5003016100,A5043931227,1
A5003016100,A5044457502,1
A5003016100,A5049953496,1
A5003016100,A5050624434,1
A5003016100,A5051626636,1
A5003016100,A5051928708,1
A5003016100,A5053455982,1
A5003016100,A5059576222,1
A5003016100,A5060645871,1
A5003016100,A5060708026,1
A5003016100,A5064564535,1
A5003016100,A5076472750,1
A5003016100,A5081316646,1
A5003016100,A5090801242,1
A5003016100,A5108034932,1
A5003016100,A5110417069,1
A5003016100,A5112590008,1
A5003041233,A5003585482,1
A5003041233,A5005578116,1
A5003041233,A5011167300,1
A5003041233,A5012805265,1
A5003041233,A5013046280,7
A5003041233,A5013064606,3
A5003041233,A5013540236,1
A5003041233,A5015438770,2
A5003041233,A5017922865,4
A5003041233,A5019727337,1
A5003041233,A5021222381,5
A5003041233,A5021425520,1
A5003041233,A5021822601,1
A5003041233,A5022897108,1
A5003041233,A5023099725,1
A5003041233,A5023696683,4
A5003041233,A5024397370,1
A5003041233,A5028587700,1
A5003041233,A5033245982,6
A5003041233,A5033619945,4
A5003041233,A5036755387,1
A5003041233,A5036847123,1
A5003041233,A5037970359,5
A5003041233,A5040578921,1
A5003041233,A5041199718,1
A5003041233,A5041745800,1
A5003041233,A5042182436,1
A5003041233,A5044681495,2
A5003041233,A5044752864,6
A5003041233,A5044882435,1
A5003041233,A5045033930,6
A5003041233,A5045340800,1
A5003041233,A5046994129,2
A5003041233,A5048115328,1
A5003041233,A5049789371,1
A5003041233,A5050624434,1
A5003041233,A5050914843,6
A5003041233,A5052064199,1
A5003041233,A5053455982,1
A5003041233,A5053753514,2
A5003041233,A5055140908,1
A5003041233,A5055341110,1
A5003041233,A5057670496,1
A5003041233,A5063743061,1
A5003041233,A5064156615,1
A5003041233,A5064856576,1
A5003041233,A5064922057,2
A5003041233,A5065720990,3
A5003041233,A5066127550,1
A5003041233,A5066305086,1
A5003041233,A5070734415,1
A5003041233,A5070982607,1
A5003041233,A5072062852,2
A5003041233,A5073061489,3
A5003041233,A5075357835,1
A5003041233,A5077258548,1
A5003041233,A5077464802,3
A5003041233,A5078322786,1
A5003041233,A5079989478,6
A5003041233,A5082014181,3
A5003041233,A5082396118,2
A5003041233,A5083471210,2
A5003041233,A5090219740,1
A5003041233,A5090601358,4
A5003041233,A5090970334,1
A5003041233,A5091544501,1
A5003041233,A5091822431,3
A5003041233,A5102750760,4
A5003041233,A5103874950,1
A5003041233,A5112376920,1
A5003081490,A5003180048,1
A5003081490,A5003477307,1
A5003081490,A5003873641,1
A5003081490,A5004302864,1
A5003081490,A5005258440,1
A5003081490,A5005495043,4
A5003081490,A5005752874,1
A5003081490,A5006117162,1
A5003081490,A5006467789,1
A5003081490,A5006531303,1
A5003081490,A5007075890,1
A5003081490,A5007385889,1
A5003081490,A5008140530,2
A5003081490,A5009592613,1
A5003081490,A5009822458,1
A5003081490,A5009895846,1
A5003081490,A5010228015,1
A5003081490,A5011003978,1
A5003081490,A5011459721,3
A5003081490,A5011508574,1
A5003081490,A5012003756,1
A5003081490,A5012805265,1
A5003081490,A5013204942,1
A5003081490,A5015084595,1
A5003081490,A5015200301,1
A5003081490,A5015353218,1
A5003081490,A5015536681,1
A5003081490,A5015558286,1
A5003081490,A5015884490,1
A5003081490,A5016012020,1
A5003081490,A5016273651,20
A5003081490,A5017214786,5
A5003081490,A5018771032,1
A5003081490,A5018856658,1
A5003081490,A5018857271,2
A5003081490,A5018859861,1
A5003081490,A5019677255,1
A5003081490,A5020353803,2
A5003081490,A5021554448,1
A5003081490,A5023751725,1
A5003081490,A5023886185,2
A5003081490,A5024868059,1
A5003081490,A5024972785,4
A5003081490,A5025187446,1
A5003081490,A5025737438,1
A5003081490,A5025808128,1
A5003081490,A5025967818,1
A5003081490,A5026655156,1
A5003081490,A5027365102,1
A5003081490,A5027675948,1
A5003081490,A5028489146,22
A5003081490,A5028489654,1
A5003081490,A5028587700,1
A5003081490,A5029003305,1
A5003081490,A5029831812,1
A5003081490,A5029873576,2
A5003081490,A5030210254,1
A5003081490,A5030398093,1
A5003081490,A5030584469,1
A5003081490,A5034016556,1
A5003081490,A5034115460,3
A5003081490,A5035074000,4
A5003081490,A5035810829,1
A5003081490,A5036209141,1
A5003081490,A5036305829,5
A5003081490,A5036520073,1
A5003081490,A5037886219,1
A5003081490,A5038873010,2
A5003081490,A5039207374,1
A5003081490,A5039364694,1
A5003081490,A5041789762,3
A5003081490,A5042281087,1
A5003081490,A5042336328,1
A5003081490,A5042531984,1
A5003081490,A5042607664,1
A5003081490,A5043141210,1
A5003081490,A5044563276,1
A5003081490,A5044790718,1
A5003081490,A5045608737,1
A5003081490,A5046743964,1
A5003081490,A5046953441,1
A5003081490,A5047066098,1
A5003081490,A5047187906,1
A5003081490,A5047356822,1
A5003081490,A5047975781,2
A5003081490,A5049153998,1
A5003081490,A5049569296,2
A5003081490,A5050624434,1
A5003081490,A5051309096,1
A5003081490,A5051333159,1
A5003081490,A5051773791,1
A5003081490,A5051923615,1
A5003081490,A5052473626,1
A5003081490,A5052613508,1
A5003081490,A5053170814,1
A5003081490,A5053379413,2
A5003081490,A5053555827,2
A5003081490,A5053594384,2
A5003081490,A5053611400,1
A5003081490,A5053634231,1
A5003081490,A5053692700,4
A5003081490,A5053731412,1
A5003081490,A5053871178,1
A5003081490,A5053956842,1
A5003081490,A5053962612,1
A5003081490,A5054262801,1
A5003081490,A5054977781,1
A5003081490,A5057388257,1
A5003081490,A5057882222,1
A5003081490,A5058574698,2
A5003081490,A5059782311,1
A5003081490,A5060958973,1
A5003081490,A5062379251,6
A5003081490,A5062667343,1
A5003081490,A5062775440,1
A5003081490,A5062897472,1
A5003081490,A5063743061,1
A5003081490,A5064156615,1
A5003081490,A5065288345,2
A5003081490,A5067846686,1
A5003081490,A5068283429,2
A5003081490,A5068910144,1
A5003081490,A5070191034,1
A5003081490,A5071649909,2
A5003081490,A5071652330,1
A5003081490,A5071867281,3
A5003081490,A5072685750,1
A5003081490,A5072875451,1
A5003081490,A5073111821,1
A5003081490,A5073123254,1
A5003081490,A5073592308,1
A5003081490,A5074413866,1
A5003081490,A5075667104,1
A5003081490,A5075996130,2
A5003081490,A5076070556,2
A5003081490,A5076444467,1
A5003081490,A5078993478,1
A5003081490,A5079542269,2
A5003081490,A5081302464,1
A5003081490,A5081408180,2
A5003081490,A5082014181,1
A5003081490,A5082317939,1
A5003081490,A5082466915,3
A5003081490,A5082618108,1
A5003081490,A5082890259,1
A5003081490,A5083266790,1
A5003081490,A5083624621,2
A5003081490,A5084493762,1
A5003081490,A5085674774,1
A5003081490,A5085955618,1
A5003081490,A5086942147,1
A5003081490,A5087370269,1
A5003081490,A5087569260,1
A5003081490,A5087701950,1
A5003081490,A5088823228,1
A5003081490,A5089067181,2
A5003081490,A5090035763,2
A5003081490,A5090428075,1
A5003081490,A5090611122,1
A5003081490,A5090970334,2
A5003081490,A5091177134,1
A5003081490,A5091351942,1
A5003081490,A5091431113,2
A5003081490,A5102773610,1
A5003081490,A5102978579,1
A5003081490,A5103874950,1
A5003081490,A5104084186,15
A5003081490,A5109505237,2
A5003081490,A5110325164,1
A5003081490,A5110779309,1
A5003081490,A5110784563,1
A5003081490,A5111404410,1
A5003081490,A5111969665,1
A5003081490,A5112460277,2
A5003117976,A5074878245,3
A5003117976,A5101969973,3
A5003117976,A5110033266,3
A5003166902,A5018009525,2
A5003166902,A5066718076,1
A5003166902,A5090001801,4
A5003174708,A5009592613,3
A5003174708,A5011034527,1
A5003174708,A5015431739,2
A5003174708,A5018184500,1
A5003174708,A5021117772,1
A5003174708,A5026833792,1
A5003174708,A5028209565,2
A5003174708,A5028985278,8
A5003174708,A5035229990,1
A5003174708,A5041238092,1
A5003174708,A5047614293,1
A5003174708,A5048250808,1
A5003174708,A5059202922,2
A5003174708,A5060386921,1
A5003174708,A5061319148,1
A5003174708,A5062492425,2
A5003174708,A5062903025,10
A5003174708,A5065312490,1
A5003174708,A5069708717,2
A5003174708,A5072800990,1
A5003174708,A5074016954,2
A5003174708,A5075034438,1
A5003174708,A5076827810,17
A5003174708,A5078678471,2
A5003174708,A5083044232,1
A5003174708,A5101828454,1
A5003174708,A5110483538,1
A5003174708,A5110525998,1
A5003174708,A5110769250,1
A5003174708,A5111721401,2
A5003174708,A5111752793,2
A5003174708,A5112330830,3
A5003174708,A5113076994,2
A5003180048,A5003477307,1
A5003180048,A5003585482,4
A5003180048,A5005258440,1
A5003180048,A5005752874,1
A5003180048,A5006117162,1
A5003180048,A5006467789,1
A5003180048,A5006531303,1
A5003180048,A5006832801,2
A5003180048,A5007075890,1
A5003180048,A5009822458,1
A5003180048,A5011435824,2
A5003180048,A5011459721,1
A5003180048,A5012003756,1
A5003180048,A5012805265,1
A5003180048,A5013204942,1
A5003180048,A5013358578,1
A5003180048,A5015200301,1
A5003180048,A5015353218,1
A5003180048,A5015536681,1
A5003180048,A5015558286,1
A5003180048,A5017805849,1
A5003180048,A5018771032,1
A5003180048,A5018856658,1
A5003180048,A5018857271,1
A5003180048,A5018859861,1
A5003180048,A5019677255,1
A5003180048,A5023180597,1
A5003180048,A5023497219,1
A5003180048,A5023751725,1
A5003180048,A5023863205,1
A5003180048,A5023886185,1
A5003180048,A5025187446,1
A5003180048,A5025808128,1
A5003180048,A5026655156,1
A5003180048,A5028037221,1
A5003180048,A5028489146,1
A5003180048,A5028587700,1
A5003180048,A5029596924,1
A5003180048,A5029831812,1
A5003180048,A5029873576,1
A5003180048,A5030210254,1
A5003180048,A5030584469,1
A5003180048,A5034016556,1
A5003180048,A5034115460,1
A5003180048,A5035810829,1
A5003180048,A5036209141,1
A5003180048,A5037886219,1
A5003180048,A5038873010,1
A5003180048,A5039207374,1
A5003180048,A5040896502,1
A5003180048,A5041789762,1
A5003180048,A5044563276,1
A5003180048,A5045608737,1
A5003180048,A5046325931,1
A5003180048,A5046743964,1
A5003180048,A5047066098,1
A5003180048,A5047187906,1
A5003180048,A5049153998,1
A5003180048,A5049569296,1
A5003180048,A5050624434,1
A5003180048,A5052530411,1
A5003180048,A5053170814,1
A5003180048,A5053379413,1
A5003180048,A5053594384,1
A5003180048,A5053611400,1
A5003180048,A5053634231,1
A5003180048,A5053962612,1
A5003180048,A5057388257,1
A5003180048,A5060958973,1
A5003180048,A5062301987,1
A5003180048,A5062667343,1
A5003180048,A5062775440,1
A5003180048,A5062897472,1
A5003180048,A5063743061,1
A5003180048,A5065288345,1
A5003180048,A5067846686,1
A5003180048,A5069148631,7
A5003180048,A5070191034,2
A5003180048,A5071649909,1
A5003180048,A5071652330,1
A5003180048,A5072875451,1
A5003180048,A5073123254,1
A5003180048,A5073592308,1
A5003180048,A5074413866,1
A5003180048,A5078993478,1
A5003180048,A5081302464,1
A5003180048,A5081408180,1
A5003180048,A5082014181,1
A5003180048,A5082317939,1
A5003180048,A5082890259,1
A5003180048,A5083624621,1
A5003180048,A5083980429,1
A5003180048,A5085674774,1
A5003180048,A5085955618,1
A5003180048,A5087370269,1
A5003180048,A5089067181,1
A5003180048,A5090035763,1
A5003180048,A5090428075,1
A5003180048,A5090892962,1
A5003180048,A5090970334,1
A5003180048,A5091351942,1
A5003180048,A5102773610,1
A5003180048,A5103874950,1
A5003180048,A5109281433,1
A5003180048,A5110600082,2
A5003180048,A5111404410,1
A5003180048,A5112460277,1
A5003180048,A5113088780,2
A5003216139,A5019794734,2
A5003216139,A5050349097,2
A5003216139,A5054703904,2
A5003216139,A5079532494,1
A5003216139,A5082466121,1
A5003216139,A5103722355,1
A5003244065,A5003477041,5
A5003244065,A5003477307,1
A5003244065,A5003585482,3
A5003244065,A5005340155,2
A5003244065,A5006294780,1
A5003244065,A5006472383,2
A5003244065,A5007128816,1
A5003244065,A5008572878,2
A5003244065,A5008894607,2
A5003244065,A5010743662,2
A5003244065,A5011699441,1
A5003244065,A5013340715,1
A5003244065,A5018113542,1
A5003244065,A5019001058,1
A5003244065,A5021861796,3
A5003244065,A5022488779,1
A5003244065,A5022750989,1
A5003244065,A5024466635,1
A5003244065,A5025737438,2
A5003244065,A5031516825,2
A5003244065,A5031528466,1
A5003244065,A5032563731,2
A5003244065,A5034143474,1
A5003244065,A5037998541,2
A5003244065,A5042039118,1
A5003244065,A5043820170,2
A5003244065,A5047614293,4
A5003244065,A5048209445,1
A5003244065,A5048543419,2
A5003244065,A5050922807,2
A5003244065,A5052268355,2
A5003244065,A5055835312,1
A5003244065,A5059851466,1
A5003244065,A5060487414,2
A5003244065,A5062134738,2
A5003244065,A5062775440,2
A5003244065,A5062903025,2
A5003244065,A5064156615,6
A5003244065,A5064826545,2
A5003244065,A5066325377,2
A5003244065,A5067477629,1
A5003244065,A5068449780,2
A5003244065,A5068754521,1
A5003244065,A5069385479,2
A5003244065,A5071702320,1
A5003244065,A5074016954,4
A5003244065,A5076376418,2
A5003244065,A5076827810,7
A5003244065,A5087750501,3
A5003244065,A5089740599,2
A5003244065,A5090219740,2
A5003244065,A5090976184,1
A5003244065,A5091308909,1
A5003244065,A5100373680,1
A5003244065,A5110525998,1
A5003244065,A5112225533,3
A5003244065,A5113842039,1
A5003254036,A5017593943,1
A5003254036,A5024397370,1
A5003254036,A5069946721,1
A5003254036,A5073404726,1
A5003257398,A5004390499,1
A5003257398,A5033297722,3
A5003257398,A5058039842,3
A5003257398,A5112497092,1
A5003276107,A5028008593,1
A5003276107,A5029744192,1
A5003276107,A5031040352,11
A5003276107,A5053320118,3
A5003276107,A5053799784,1
A5003276107,A5054546214,4
A5003276107,A5055257702,1
A5003276107,A5064104060,2
A5003276107,A5080053438,9
A5003307016,A5025674050,4
A5003307016,A5034115460,1
A5003307016,A5043201622,1
A5003307016,A5111754302,2
A5003307016,A5112955398,1
A5003307016,A5113544463,1
A5003326779,A5015783930,1
A5003326779,A5024805078,3
A5003326779,A5041051156,4
A5003326779,A5047750485,5
A5003326779,A5069202027,1
A5003326779,A5073670005,4
A5003362539,A5006918868,2
A5003362539,A5012424495,1
A5003362539,A5012660500,1
A5003362539,A5014796694,1
A5003362539,A5015196555,1
A5003362539,A5022131273,1
A5003362539,A5034016556,1
A5003362539,A5054804112,2
A5003362539,A5059437177,1
A5003362539,A5082890259,1
A5003362539,A5084900280,1
A5003394536,A5011699441,2
A5003394536,A5013100664,2
A5003394536,A5016742531,7
A5003394536,A5017814792,3
A5003394536,A5021554448,2
A5003394536,A5030064963,1
A5003394536,A5032735013,8
A5003394536,A5036448139,1
A5003394536,A5039432002,1
A5003394536,A5041032807,4
A5003394536,A5043188893,3
A5003394536,A5044019855,2
A5003394536,A5048080984,1
A5003394536,A5051676460,1
A5003394536,A5057177001,4
A5003394536,A5070191034,1
A5003394536,A5072534782,1
A5003394536,A5082317939,9
A5003394536,A5085674774,1
A5003394536,A5086127197,1
A5003394536,A5113522818,2
A5003411706,A5007077603,1
A5003411706,A5009495779,1
A5003411706,A5017688721,5
A5003411706,A5020061264,1
A5003411706,A5027834434,11
A5003411706,A5035229990,1
A5003411706,A5053295006,4
A5003411706,A5053410745,2
A5003411706,A5057416589,12
A5003411706,A5059202922,1
A5003411706,A5062903025,1
A5003411706,A5080848488,2
A5003411706,A5087357302,1
A5003416784,A5003548954,1
A5003416784,A5004099519,1
A5003416784,A5009577638,1
A5003416784,A5009663286,2
A5003416784,A5010083745,1
A5003416784,A5015835376,1
A5003416784,A5016539292,1
A5003416784,A5016661983,1
A5003416784,A5017604537,2
A5003416784,A5020391484,2
A5003416784,A5020842770,2
A5003416784,A5021797231,1
A5003416784,A5022241342,1
A5003416784,A5022640843,1
A5003416784,A5022794662,4
A5003416784,A5022935877,4
A5003416784,A5023856689,1
A5003416784,A5024136135,3
A5003416784,A5024402072,6
A5003416784,A5025702987,1
A5003416784,A5027181768,1
A5003416784,A5027306891,2
A5003416784,A5027534799,1
A5003416784,A5027789668,1
A5003416784,A5028672169,1
A5003416784,A5028985278,1
A5003416784,A5029121069,1
A5003416784,A5029150097,1
A5003416784,A5029275928,3
A5003416784,A5031110017,1
A5003416784,A5031607351,1
A5003416784,A5031709104,1
A5003416784,A5031882730,6
A5003416784,A5035716016,2
A5003416784,A5040857790,1
A5003416784,A5044290003,2
A5003416784,A5044563276,2
A5003416784,A5046418896,1
A5003416784,A5049371306,1
A5003416784,A5050084607,1
A5003416784,A5051928708,1
A5003416784,A5051967746,1
A5003416784,A5053453272,1
A5003416784,A5053668705,1
A5003416784,A5055694349,1
A5003416784,A5056835070,3
A5003416784,A5057126604,1
A5003416784,A5057280294,2
A5003416784,A5058844694,1
A5003416784,A5059484438,1
A5003416784,A5060493413,2
A5003416784,A5060620433,4
A5003416784,A5060708026,1
A5003416784,A5060925165,4
A5003416784,A5060944912,4
A5003416784,A5061319148,1
A5003416784,A5063765741,2
A5003416784,A5064316776,1
A5003416784,A5065057981,1
A5003416784,A5069117192,1
A5003416784,A5070110372,1
A5003416784,A5071159310,1
A5003416784,A5074671712,1
A5003416784,A5074863986,2
A5003416784,A5075403402,2
A5003416784,A5076175741,1
A5003416784,A5077137022,4
A5003416784,A5077178704,9
A5003416784,A5078457677,4
A5003416784,A5078593119,1
A5003416784,A5079729510,5
A5003416784,A5080123862,2
A5003416784,A5080956929,1
A5003416784,A5082445656,1
A5003416784,A5083139289,1
A5003416784,A5084336818,1
A5003416784,A5084377900,1
A5003416784,A5086524488,1
A5003416784,A5087593953,6
A5003416784,A5090953011,4
A5003416784,A5091337163,1
A5003416784,A5093469059,2
A5003416784,A5096911818,3
A5003416784,A5096911819,3
A5003416784,A5103014661,2
A5003416784,A5103147037,4
A5003416784,A5106303147,1
A5003416784,A5108034932,2
A5003416784,A5108122011,1
A5003416784,A5110101517,1
A5003416784,A5110272526,6
A5003416784,A5113632107,1
A5003450317,A5010190530,1
A5003450317,A5013757452,1
A5003450317,A5029309176,1
A5003450317,A5031362988,1
A5003450317,A5040405468,1
A5003450317,A5087528766,1
A5003450317,A5102733584,1
A5003477041,A5003537699,1
A5003477041,A5003585482,14
A5003477041,A5003873641,1
A5003477041,A5004079611,5
A5003477041,A5004789455,4
A5003477041,A5004995990,1
A5003477041,A5005258440,1
A5003477041,A5005283883,1
A5003477041,A5005743066,1
A5003477041,A5005752874,1
A5003477041,A5006117162,2
A5003477041,A5006156806,1
A5003477041,A5006262649,2
A5003477041,A5006294780,8
A5003477041,A5006422866,4
A5003477041,A5006472383,2
A5003477041,A5006534782,3
A5003477041,A5006677190,1
A5003477041,A5006918868,1
A5003477041,A5007128816,4
A5003477041,A5007443384,1
A5003477041,A5008055496,1
A5003477041,A5008112559,3
A5003477041,A5008317354,1
A5003477041,A5008394588,3
A5003477041,A5008477329,8
A5003477041,A5008640463,1
A5003477041,A5008981085,1
A5003477041,A5009058645,3
A5003477041,A5009579305,2
A5003477041,A5009592613,3
A5003477041,A5009804038,3
A5003477041,A5010447599,3
A5003477041,A5010505034,1
A5003477041,A5011034527,1
A5003477041,A5011209075,3
A5003477041,A5011629984,23
A5003477041,A5011699105,3
A5003477041,A5011699441,1
A5003477041,A5012003756,1
A5003477041,A5012365378,3
A5003477041,A5012374355,1
A5003477041,A5012379251,1
A5003477041,A5013100664,3
A5003477041,A5013757452,1
A5003477041,A5014030538,2
A5003477041,A5014380800,1
A5003477041,A5014389821,3
A5003477041,A5015248275,6
A5003477041,A5015312535,4
A5003477041,A5015884459,1
A5003477041,A5015887084,1
A5003477041,A5016012020,1
A5003477041,A5016063759,5
A5003477041,A5016236970,2
A5003477041,A5016273651,2
A5003477041,A5016536228,1
A5003477041,A5016661983,1
A5003477041,A5016685797,1
A5003477041,A5016794364,1
A5003477041,A5017214786,2
A5003477041,A5018109591,1
A5003477041,A5018184500,5
A5003477041,A5018316874,1
A5003477041,A5018648339,2
A5003477041,A5018701973,1
A5003477041,A5018857271,1
A5003477041,A5018911431,1
A5003477041,A5019001058,1
A5003477041,A5019308545,3
A5003477041,A5019677255,1
A5003477041,A5019748725,3
A5003477041,A5020220083,1
A5003477041,A5020265598,7
A5003477041,A5020309275,3
A5003477041,A5021109586,1
A5003477041,A5021290301,2
A5003477041,A5021295409,1
A5003477041,A5021605346,3
A5003477041,A5021631588,1
A5003477041,A5021765519,1
A5003477041,A5021787035,1
A5003477041,A5021861796,9
A5003477041,A5022190399,2
A5003477041,A5022578633,3
A5003477041,A5022631082,3
A5003477041,A5022750989,1
A5003477041,A5022897108,7
A5003477041,A5023180597,1
A5003477041,A5023486056,4
A5003477041,A5023521563,1
A5003477041,A5023751725,1
A5003477041,A5024030611,3
A5003477041,A5024202369,2
A5003477041,A5024249447,1
A5003477041,A5024249803,1
A5003477041,A5024318636,1
A5003477041,A5024684992,1
A5003477041,A5025535605,1
A5003477041,A5025542998,1
A5003477041,A5025737438,2
A5003477041,A5025786999,1
A5003477041,A5025808128,1
A5003477041,A5025880572,1
A5003477041,A5026137241,2
A5003477041,A5026765090,1
A5003477041,A5026888663,8
A5003477041,A5027041056,1
A5003477041,A5027250578,1
A5003477041,A5027889580,4
A5003477041,A5028192624,2
A5003477041,A5028909890,1
A5003477041,A5029057419,1
A5003477041,A5029158831,3
A5003477041,A5029366984,3
A5003477041,A5029427521,3
A5003477041,A5029873576,8
A5003477041,A5029890441,1
A5003477041,A5030163275,1
A5003477041,A5030500092,1
A5003477041,A5030500452,101
A5003477041,A5030584469,1
A5003477041,A5031110017,1
A5003477041,A5031194545,1
A5003477041,A5031386126,6
A5003477041,A5031443407,1
A5003477041,A5031500543,1
A5003477041,A5031516825,1
A5003477041,A5031528466,3
A5003477041,A5031697224,1
A5003477041,A5031709104,2
A5003477041,A5032101752,14
A5003477041,A5032553081,1
A5003477041,A5032563731,9
A5003477041,A5032588885,3
A5003477041,A5032940863,2
A5003477041,A5033241401,1
A5003477041,A5033887631,2
A5003477041,A5034143474,1
A5003477041,A5034464331,1
A5003477041,A5034724010,1
A5003477041,A5034741749,1
A5003477041,A5034838952,2
A5003477041,A5034869258,2
A5003477041,A5034910630,4
A5003477041,A5034930780,3
A5003477041,A5035144012,2
A5003477041,A5035425184,1
A5003477041,A5036057550,3
A5003477041,A5036209141,4
A5003477041,A5037044485,2
A5003477041,A5037587487,2
A5003477041,A5037829444,1
A5003477041,A5038873010,1
A5003477041,A5038897929,3
A5003477041,A5039207374,1
A5003477041,A5040300113,1
A5003477041,A5040443326,4
A5003477041,A5040458193,4
A5003477041,A5041238092,3
A5003477041,A5041349380,3
A5003477041,A5041995930,3
A5003477041,A5042039118,17
A5003477041,A5042095784,2
A5003477041,A5042336328,1
A5003477041,A5042359572,3
A5003477041,A5042743351,2
A5003477041,A5042949929,3
A5003477041,A5043069911,1
A5003477041,A5043214978,3
A5003477041,A5043597524,1
A5003477041,A5043854862,1
A5003477041,A5044538537,7
A5003477041,A5044554912,1
A5003477041,A5044563276,1
A5003477041,A5044752864,1
A5003477041,A5044890749,1
A5003477041,A5044932133,3
A5003477041,A5045280160,3
A5003477041,A5045335131,1
A5003477041,A5045608737,1
A5003477041,A5046509290,1
A5003477041,A5046615869,1
A5003477041,A5047214861,2
A5003477041,A5047356822,1
A5003477041,A5047465035,1
A5003477041,A5047610788,3
A5003477041,A5047614293,13
A5003477041,A5047686032,9
A5003477041,A5047975781,3
A5003477041,A5048209445,4
A5003477041,A5048543419,1
A5003477041,A5049033653,1
A5003477041,A5049735088,3
A5003477041,A5049789371,1
A5003477041,A5050428667,6
A5003477041,A5050922807,1
A5003477041,A5051248935,1
A5003477041,A5051333159,3
A5003477041,A5051347992,4
A5003477041,A5052132995,5
A5003477041,A5052508555,3
A5003477041,A5052570808,4
A5003477041,A5052630629,1
A5003477041,A5052896901,5
A5003477041,A5053355169,1
A5003477041,A5053555827,1
